anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Arabic Word
0,0,0,0,0,0,0,0,0,0,فوجئ
0,0,0,0,0,0,0,0,0,1,طبلية تاج
0,0,0,1,0,1,0,1,0,0,تخلى
1,0,0,1,0,1,0,1,0,0,مهجور
1,0,0,1,0,1,0,1,1,0,التخلي عن
0,0,0,0,0,0,0,0,0,0,خف
0,0,0,0,0,0,0,0,0,0,تخفيف
0,0,0,0,0,0,1,0,0,0,أبا
0,0,0,0,0,0,0,0,0,1,رئيس الدير
0,0,0,0,0,0,0,0,0,0,اختصر
0,0,0,0,0,0,0,0,0,0,اختصار
0,0,0,0,0,0,0,0,0,0,البطن
0,0,0,0,0,0,0,0,0,0,البطني
0,0,0,1,0,1,0,1,1,0,اختطاف
0,0,0,0,0,1,0,0,0,0,ضلال
0,0,1,0,0,1,0,0,0,0,انحراف
0,0,0,0,0,0,0,0,0,0,تعليق
1,0,1,1,0,1,0,0,0,0,يبغض
1,0,1,1,0,1,0,0,0,0,مقيت
0,0,0,0,0,0,0,0,0,0,يلتزم
0,0,0,0,0,0,1,0,0,0,قدرة
0,0,1,0,0,1,0,0,0,0,حقير
0,0,0,0,0,0,0,0,0,0,استئصال
0,0,0,0,0,0,0,0,0,0,مشتعل
0,0,1,0,0,1,0,0,0,0,غير طبيعي
0,0,0,0,0,0,0,0,0,0,على متن سفينة
0,0,0,0,0,0,0,0,0,0,مسكن
1,0,0,0,0,1,0,0,0,0,تلغي
0,0,0,0,0,1,0,0,0,0,إلغاء
0,0,1,1,0,1,0,0,0,0,بغيضة
1,0,1,1,0,1,0,0,0,0,رجس - مقت شديد، عمل بغيض
0,0,0,0,0,0,0,0,0,0,من السكان الأصليين
0,0,0,0,0,1,0,0,0,0,إجهاض
0,0,1,1,0,1,0,1,0,0,إجهاض
0,0,0,0,0,1,0,1,0,0,مجهض
0,0,0,0,0,0,0,0,0,0,يزخر
0,0,0,0,0,0,1,0,0,0,المذكورة أعلاه
0,0,0,0,0,1,0,0,0,0,تآكل
0,0,0,0,0,0,0,0,0,0,خارج البلاد
0,0,0,0,0,1,0,0,0,0,فسخ
0,0,0,0,0,0,0,0,1,0,شديد الأنحدار
0,0,0,0,0,0,0,0,0,0,بشكل مفاجئ
0,0,0,0,0,1,0,1,0,0,خراج
0,0,0,1,0,1,0,1,0,0,غياب
0,0,0,0,0,1,0,1,0,0,غائب
0,0,0,0,0,1,0,1,0,0,متغيب عن العمل
0,0,0,0,0,1,0,0,0,0,التغيب
0,0,0,0,0,0,0,0,0,0,الأفسنتين
0,0,0,0,0,0,1,0,0,0,مطلق
0,0,0,0,1,0,1,0,0,1,الغفران
0,0,0,0,0,0,1,0,0,0,يمتص
0,0,0,0,0,0,0,0,0,0,ماص
0,0,0,0,0,0,0,0,0,0,تمتص
0,0,0,0,0,0,0,0,0,0,استيعاب
0,0,0,0,0,0,0,0,0,0,امتنع
0,0,0,0,0,0,0,0,0,0,الامتناع
0,0,0,0,0,0,0,0,0,0,الامتناع
0,0,0,0,0,0,0,0,0,0,نبذة مختصرة
0,0,0,0,0,0,0,0,0,0,التجريد
0,0,0,0,0,1,0,0,0,0,سخيف
0,0,0,0,0,1,0,0,0,0,سخافة
0,1,1,0,1,1,1,0,0,1,وفرة
0,0,0,0,1,0,1,0,0,0,وفير
1,0,1,1,0,1,0,1,0,0,تعاطي
0,0,0,0,0,0,0,0,0,0,دعامة
0,0,0,0,0,0,0,0,0,0,أبي
0,0,0,0,0,1,0,1,0,0,سيئ
0,0,0,1,0,1,0,1,0,0,هاوية
0,0,0,0,0,0,1,0,0,1,أكاديمي
0,0,0,0,0,0,1,0,0,0,الأكاديمية
0,0,0,0,0,0,0,0,0,0,تنضم
0,1,0,0,0,0,0,0,0,0,تسريع
0,0,0,0,0,0,0,0,0,0,التسريع
0,0,0,0,0,0,0,0,0,0,لهجة
0,0,0,0,0,0,0,0,0,0,إبراز
0,0,0,0,0,0,0,0,0,0,قبول
0,0,0,0,0,0,1,0,0,0,مقبول
0,0,0,0,0,0,1,0,0,0,قبول
0,0,0,0,0,0,0,0,0,0,التمكن من
0,0,0,0,0,0,1,0,0,0,يمكن الوصول
0,0,0,0,0,0,0,0,0,0,انضمام
0,0,0,0,0,0,0,0,0,0,ملحق
0,0,0,1,0,1,0,1,1,0,حادثة
0,0,0,1,0,1,0,0,1,0,عرضي
0,0,0,0,0,0,0,0,1,0,بطريق الخطأ
0,1,0,0,1,0,1,0,1,1,احتضان
0,0,0,0,0,0,0,0,0,0,يستوعب
0,0,0,0,0,0,1,0,0,0,الإقامة
0,1,0,0,1,0,1,0,0,1,مرافقة
0,0,0,0,0,0,0,0,0,0,مرافقة
0,0,0,0,0,0,0,0,0,0,مصاحب
0,0,0,0,0,0,0,0,0,0,شريك
0,0,0,0,1,0,1,0,0,0,ينجز
0,0,0,0,1,0,1,0,0,0,مُتَفَوِّق
0,0,0,0,0,0,1,0,0,0,إنجاز
0,0,0,0,0,0,1,0,0,1,اتفاق
0,0,0,0,0,0,0,0,0,0,وفقا
0,0,0,0,0,0,0,0,0,0,الأكورديون
0,0,0,0,0,0,0,0,0,1,الحساب
0,0,0,0,0,0,1,0,0,1,مسئولية
0,0,0,0,0,0,1,0,0,1,مسؤول
0,0,0,0,0,0,0,0,0,1,محاسب
0,0,0,0,0,0,0,0,0,0,محاسبة
0,0,0,0,0,0,0,0,0,1,حسابات
0,0,0,0,0,0,1,0,0,1,معتمد
0,0,0,0,0,0,0,0,0,0,التراكم
0,0,0,0,0,0,0,0,0,0,تعود
0,0,0,0,0,0,1,0,0,0,Accueil
0,0,0,0,0,0,0,0,0,0,جمع
0,0,0,0,0,0,0,0,0,0,تراكم
0,0,0,0,0,0,0,0,0,0,صحة
0,0,0,0,0,0,1,0,0,1,دقيق
1,0,0,1,0,1,0,1,0,0,ملعون
1,0,1,0,0,1,0,0,0,0,الاتهام
0,0,0,0,0,1,0,0,0,0,حالة النصب
1,0,0,1,0,1,0,0,0,0,المتهم
1,0,0,1,0,1,0,0,0,0,المتهم
1,0,0,1,0,1,0,0,0,0,يتهم
0,0,0,0,0,0,0,0,0,0,معتاد
0,0,0,0,0,0,1,0,0,0,أجاد
0,0,0,0,0,0,0,0,0,0,اسيتيك
0,0,0,0,0,1,0,1,0,0,وجع
0,0,0,0,1,0,1,0,0,1,التوصل
0,1,0,0,1,0,1,0,0,1,إنجاز
0,0,0,0,0,1,0,1,0,0,وجع
0,0,0,0,0,1,0,0,0,0,حامض
0,0,0,0,0,0,0,0,0,0,حموضة
0,0,0,0,0,0,0,0,0,0,يُقرّ
0,0,0,0,0,0,0,0,0,0,اعترف
0,0,0,0,0,0,1,0,0,0,إعتراف
0,0,0,0,0,0,0,0,0,0,ذروة
0,0,0,0,0,0,0,0,0,0,صوتي
0,0,0,0,0,0,0,0,0,0,الصوتيات
0,0,0,0,0,0,0,0,0,0,إطلاع الشخص علي
0,0,0,0,0,0,0,0,0,0,التعارف
0,0,0,0,0,0,0,0,0,0,تعرف
0,0,0,0,0,0,0,0,0,0,إذعان على مضض
0,0,0,0,0,0,1,0,0,0,يستحوذ على
0,1,0,0,0,0,1,0,0,0,الحصول
0,0,0,0,0,0,0,0,0,0,استحواذ
0,0,0,0,0,0,0,0,0,0,المقتنيات
0,0,0,0,0,0,0,0,0,0,مساحة
0,0,0,0,0,0,0,0,0,0,فدان
0,0,0,1,1,0,1,0,0,1,بهلوان
0,0,0,0,0,0,0,0,0,0,فعل
0,0,0,0,0,0,0,0,0,0,التمثيل
0,0,0,0,0,0,1,0,0,0,عمل
1,0,1,0,0,1,0,0,0,0,فعالة
0,0,0,0,0,0,0,0,0,0,نشيط
0,0,0,0,0,0,0,0,0,0,نشاط
0,0,0,0,0,0,0,0,0,0,الممثل
0,0,0,0,0,0,1,0,0,0,فِعلي
0,0,0,0,0,0,0,0,0,0,حقيقة
0,0,0,0,0,0,0,0,0,0,الخبير الاكتواري
0,0,0,0,0,0,1,0,0,0,حدة
0,0,0,0,0,0,1,0,0,0,الفطنة
0,0,0,0,0,0,0,0,0,0,العلاج بالإبر
0,0,0,0,0,0,0,0,0,0,بشكل حاد
0,0,0,0,0,0,0,0,0,0,القول المأثور
0,0,0,0,0,0,0,0,0,0,مصر على رأيه
0,0,0,0,0,0,1,0,0,0,يتكيف
0,0,0,0,0,0,1,0,0,0,قابل للتكيف
0,0,0,0,0,0,0,0,0,0,يضيف
0,0,0,0,0,0,0,0,0,0,مضاف
0,0,0,0,0,0,0,0,0,0,إضافة
1,0,1,1,0,1,0,1,0,0,الأفعى
0,0,0,0,0,1,0,0,0,0,مدمن
0,0,0,0,0,0,0,0,0,0,إضافة
0,0,0,0,0,0,0,0,0,0,إضافي
0,0,0,0,0,0,0,0,0,0,مادة مضافة
0,0,0,0,0,0,0,0,0,0,تبوك
0,0,0,0,0,0,0,0,0,0,المرسل إليه
0,1,0,0,0,0,1,0,0,0,عناوين
0,0,0,0,0,0,1,0,0,0,بارع
0,0,0,0,0,0,1,0,0,0,قدرة
0,0,0,0,0,0,0,0,0,0,مناسب
0,0,0,0,0,0,0,0,0,0,يتمسك
0,0,0,0,0,0,0,0,0,0,التقيد
0,0,0,0,0,0,0,0,0,0,نصير
0,0,0,0,0,0,0,0,0,1,الانضمام
0,0,0,0,0,0,0,0,0,0,التصاق
0,0,0,0,0,0,0,0,0,0,لاصق
0,0,0,0,0,0,0,0,0,0,وداعا
0,0,0,0,0,1,0,0,0,0,دهني
0,0,0,0,0,0,0,0,0,0,الملاصقة
0,0,0,0,0,0,0,0,0,0,متاخم
0,0,0,0,0,0,0,0,0,0,صفة
0,0,0,0,0,0,0,0,0,0,المجاورة
0,0,0,0,0,0,0,0,0,0,رفع
0,0,0,0,0,0,0,0,0,0,تأجيل
0,0,0,1,0,1,0,0,0,0,يحكم
0,0,0,0,0,0,0,0,0,0,التحكيم
0,0,0,0,0,0,1,0,0,0,مساعد
0,0,0,0,0,0,0,0,0,0,يُعدِّل
0,0,0,0,0,0,0,0,0,0,تعديل
0,0,0,0,0,0,0,0,0,0,مساعد
0,0,0,0,0,0,0,0,0,0,إدارة
0,0,0,0,0,0,0,0,0,0,الادارة
0,0,0,0,0,0,0,0,0,1,إداري
0,0,0,0,1,0,1,0,0,1,رائع
0,0,0,0,0,0,1,0,0,1,أميرال
0,0,0,0,0,0,0,0,0,0,أميرالية
0,0,0,0,1,0,1,0,0,1,إعجاب
0,0,0,0,0,0,1,0,0,1,معجب
0,0,0,0,0,0,1,0,0,0,معجب
0,0,0,0,0,0,0,0,0,0,المقبولية
0,0,0,0,0,0,1,0,0,1,مقبول
0,0,0,0,0,0,0,0,0,0,سماح بالدخول
0,0,0,0,0,0,0,0,0,0,يعترف
0,0,0,0,0,0,0,0,0,0,القبول
0,0,0,0,0,0,0,0,0,0,اعترف
0,0,0,0,0,0,0,0,0,0,الاعتراف
0,0,0,0,0,0,0,0,0,0,خليط
0,0,0,1,0,1,0,0,0,0,عتاب
0,0,0,0,0,0,0,0,0,0,اللغط
0,0,0,0,0,0,0,0,0,0,أدوبي
0,0,0,0,0,0,0,0,0,0,مرحلة المراهقة
0,0,0,0,0,0,0,0,0,0,مراهق
0,0,0,0,0,0,0,0,0,0,يتبنى
0,0,0,0,0,0,0,0,0,0,تبني
0,0,0,0,1,0,1,0,0,0,بديع
0,0,0,0,1,0,1,0,0,1,هيام
0,1,0,0,1,0,1,0,0,1,أعشق
0,0,0,0,0,0,0,0,0,0,تزين
0,0,0,0,0,0,0,0,0,0,زينة
0,1,0,1,0,1,0,1,0,0,على غير هدى
0,0,0,0,0,0,0,0,0,0,بالغ
0,0,0,0,0,1,0,0,0,0,مغشوشة
0,0,1,0,0,1,0,1,0,0,الزنا
0,1,0,1,1,0,1,0,1,0,يتقدم
0,0,0,0,0,0,1,0,0,0,المتقدمة
0,0,0,0,0,0,1,0,0,0,تقدم
0,0,0,0,0,0,0,0,0,0,تتقدم
0,0,0,0,0,0,1,0,0,0,مميزات
0,0,0,0,0,0,1,0,0,0,مفيد
0,1,0,0,1,0,1,0,0,1,القدوم
0,1,0,0,0,0,1,0,0,0,مفامرة
0,0,0,0,0,0,0,0,0,0,مغامر
0,0,0,0,0,0,1,0,0,0,مغامر
1,0,0,0,0,1,0,0,0,0,الخصم
1,0,1,1,0,1,0,1,0,0,سلبي
1,0,0,1,0,1,0,1,0,0,محنة
0,0,0,0,0,0,0,0,0,0,يعلن
0,0,0,0,0,0,0,0,0,0,الإعلانات
0,0,0,0,0,0,0,0,0,1,النصيحة
0,0,0,0,0,0,1,0,0,1,المستحسن
0,0,0,0,0,0,1,0,0,1,نصيحة
0,0,0,0,0,0,0,0,0,1,نصح
0,0,0,0,0,0,0,0,0,0,نصيحة
0,0,0,0,0,0,1,0,0,1,مستشار
1,1,0,0,1,0,1,0,0,1,المناصرة
0,0,0,0,0,0,0,0,0,1,المؤيد
0,0,0,0,0,0,0,0,0,0,ايجيس
0,0,0,0,0,0,0,0,0,0,تهوية
0,0,0,0,0,0,0,0,0,0,الجوي
0,0,0,0,0,0,0,0,0,0,المطار
0,0,0,0,0,0,0,0,0,0,الديناميكا الهوائية
0,0,0,0,0,0,0,0,0,0,الطيران
0,0,0,0,0,0,0,0,0,0,طائرة
0,0,0,0,0,0,1,0,0,0,جمالي
0,0,0,0,1,0,1,0,0,0,جماليات
0,0,0,0,0,0,0,0,0,0,المسببات المرضية
0,0,0,0,0,0,0,0,0,0,بعيد
0,0,0,0,0,0,1,0,0,0,لطيف
0,0,0,0,0,0,0,0,0,0,قضية
0,0,0,0,0,0,0,0,0,0,تؤثر
0,0,0,0,1,0,1,0,0,1,تاثير
0,0,0,0,0,0,0,0,0,0,عواطف
0,0,0,0,0,0,0,0,0,0,شبق
0,0,0,0,0,0,0,0,0,0,إفادة خطية
0,0,0,0,0,0,1,0,0,0,التابعة
0,0,0,0,0,0,0,0,0,0,الانتماء
0,0,0,0,0,0,0,0,0,0,التقارب
0,0,0,0,0,0,1,0,0,1,يؤكد
0,0,0,0,0,0,1,0,0,0,تأكيد
0,0,0,0,0,0,1,0,0,0,اثبات
0,0,0,0,0,0,1,0,0,1,بالإيجاب
0,0,0,0,0,0,0,0,0,0,اللاحق
0,0,0,1,0,1,0,1,0,0,بلاء
0,0,0,0,0,1,0,0,0,0,منكوبة
0,0,1,1,0,1,0,1,0,0,بلاء
0,0,0,0,1,0,1,0,0,0,ترف
0,0,0,0,0,0,1,0,0,0,ثري
0,0,0,0,0,0,1,0,0,0,يمنح
1,0,1,1,0,1,0,1,1,0,إهانة
0,0,0,0,0,0,0,0,0,0,خارج
0,0,0,0,0,0,0,0,0,0,قبل ذلك
0,0,0,0,0,0,0,0,0,0,مذكور أعلاه
0,0,0,0,0,0,0,0,0,0,سالف الذكر
0,0,0,1,0,1,0,0,0,0,خائف
0,0,0,0,0,0,0,0,0,0,من جديد
0,0,0,0,0,0,0,0,0,0,في الخلف
1,0,1,1,0,1,0,1,0,0,ما بعد الكارثة
0,0,0,0,0,0,0,0,0,0,بعد الظهر
0,0,0,0,0,1,0,0,0,0,طعم
0,0,0,0,0,0,0,0,0,0,بعد التفكير
0,0,0,1,0,0,1,0,0,1,الآغا
0,0,0,0,0,0,0,0,0,0,العقيق
0,0,0,0,0,0,0,0,0,0,سن
0,0,0,0,0,0,0,0,0,0,مسن
0,0,0,0,0,0,0,0,0,0,وكالة
0,0,0,0,0,0,0,0,0,0,وكيل
0,0,0,0,0,0,0,0,0,0,تكتل
1,0,0,0,0,1,0,0,0,0,تفاقم
1,0,0,0,0,1,0,1,0,0,المشددة
1,0,1,0,0,1,0,0,0,0,التفاقم
0,0,0,0,0,0,0,0,0,0,مجموع
0,0,0,0,0,0,0,0,0,0,تجميع
1,0,0,1,0,1,0,0,0,0,عدوان
1,0,0,1,0,1,0,0,0,0,عنيف
1,0,0,1,0,1,0,0,0,0,المعتدي
0,0,1,1,0,1,0,0,1,0,مذعور
0,0,0,0,0,0,1,0,0,0,رشيق
0,0,0,0,0,0,1,0,0,0,رشاقة
1,0,0,0,0,1,0,0,0,0,مضطرب
1,0,0,0,0,1,0,0,0,0,الإثارة
0,0,0,0,0,0,0,0,0,0,محايد دينيا
0,0,0,0,0,0,0,0,0,0,منذ
0,0,0,1,0,1,0,0,0,0,مبرح
1,0,0,1,0,1,0,1,0,0,سكرة
0,0,0,0,0,0,1,0,0,0,يوافق على
0,0,0,0,0,0,1,0,0,1,مقبول
0,0,0,0,0,0,1,0,0,1,متفق عليه
0,0,0,0,0,0,1,0,0,1,الموافقة
0,0,0,0,0,0,1,0,0,1,اتفاق
0,0,0,0,0,0,0,0,0,0,زراعي
0,0,0,0,0,0,1,0,0,0,الزراعة
0,0,0,0,0,1,0,0,0,0,جنحت
0,0,0,0,0,0,0,0,0,0,أغوا
0,0,0,0,0,0,1,0,0,0,امام
0,0,0,0,0,0,1,0,0,0,يساعد
0,0,0,0,0,0,1,0,0,0,مساعدة
0,0,0,0,0,1,0,1,0,0,يزعج
0,0,0,1,0,1,0,1,0,0,مريض
0,0,0,0,0,0,0,0,0,0,وعكة
0,0,0,0,0,0,0,0,0,0,هدف، تصويب
0,0,0,0,0,1,0,0,0,0,بلا هدف
0,0,0,0,0,0,0,0,0,0,هواء
0,0,0,0,0,0,0,0,0,0,وسادة هوائية
0,0,0,0,0,0,0,0,0,0,الجسر الجوي
0,0,0,0,0,0,0,0,0,0,شركة طيران
0,0,0,0,0,0,0,0,0,0,طيار
0,0,0,0,0,0,0,0,0,0,مطار
0,1,0,0,0,0,0,0,0,0,مطار
0,0,1,0,0,1,0,0,0,0,اجواء
0,0,0,0,0,0,0,0,0,0,منطاد
0,0,0,0,0,0,0,0,0,0,ممر
0,0,0,0,0,0,0,0,0,0,بعد
0,0,0,0,0,0,0,0,0,0,مفتوح جزئيا
0,0,0,0,0,0,0,0,0,1,قريب
0,0,0,0,0,0,1,0,0,0,المرمر
0,0,0,1,0,1,0,0,1,0,إنذار
0,0,0,1,0,1,0,0,1,0,ينذر بالخطر
0,0,0,0,0,0,0,0,0,1,ألب
0,0,0,0,0,0,0,0,0,0,الألبوم
0,0,0,0,0,0,0,0,0,0,كيمياء
0,0,0,0,0,0,0,0,0,0,كحول
1,0,1,1,0,1,0,1,0,0,إدمان الكحول
0,0,0,0,0,0,0,0,0,0,الكوة
0,0,0,0,0,0,0,0,0,0,إنذار
0,1,0,1,0,0,1,0,1,0,اليقظة
0,1,0,1,0,0,0,0,1,0,تنبيهات
0,0,0,0,0,0,0,0,0,0,البرسيم
0,0,0,0,0,0,0,0,0,0,الجبر
0,0,0,0,0,0,0,0,0,0,جبري
0,0,0,0,0,0,0,0,0,0,الخوارزمية
0,0,0,0,0,0,0,0,0,0,ذريعة
0,0,1,1,0,1,0,0,0,0,كائن فضائي
1,0,1,0,0,1,0,0,0,0,ينفر
0,0,0,0,0,1,0,1,0,0,منبوذ
1,0,1,1,0,1,0,1,0,0,نقل ملكية
0,0,0,0,0,0,0,0,0,0,مشتعل
0,0,0,0,0,0,0,0,0,0,محاذاة
0,0,0,0,0,0,0,0,0,0,محاذاة
0,0,0,0,0,0,0,0,0,0,على حد سواء
0,0,0,0,0,0,1,0,0,0,التغذية
0,0,0,0,0,1,0,0,0,0,النفقة
0,0,0,0,0,0,0,0,0,0,قسامة
0,1,0,0,1,0,1,0,0,1,على قيد الحياة
0,0,0,0,0,0,0,0,0,0,قلوي
0,0,0,0,0,0,0,0,0,0,قلويدات
0,0,0,0,0,0,1,0,0,0,تهدئة
1,0,0,0,0,1,0,0,0,0,ادعاء
0,0,0,0,0,1,0,0,0,0,زعم
0,0,0,0,0,0,0,0,0,0,مزعوم
0,0,0,0,0,0,1,0,0,1,الولاء
0,0,0,0,0,0,0,0,0,0,استعاري
0,0,0,0,0,0,0,0,0,0,فن رمزي
0,0,0,0,0,0,1,0,0,0,اليجرو
0,0,0,0,0,0,1,0,0,0,خفف
0,0,0,0,0,0,1,0,0,0,التخفيف
0,0,0,0,0,0,0,0,0,0,زقاق
0,0,0,0,0,0,0,0,0,1,تحالف
0,0,0,0,0,0,1,0,0,1,متحالف
0,0,0,0,0,0,0,0,0,0,التمساح
0,0,0,0,0,0,0,0,0,0,تخصيص
0,0,0,0,0,0,0,0,0,0,توزيع
0,0,0,0,0,0,0,0,0,0,تخصيص
0,0,0,0,0,0,0,0,0,0,التخصيص
0,0,0,0,0,0,1,0,0,0,المسموح به
0,0,0,0,0,0,0,0,0,0,مخصص
0,0,0,0,0,0,0,0,0,0,مسموح
0,0,0,0,0,0,0,0,0,0,سبيكة
0,1,0,0,1,0,1,0,1,0,إغراء
0,0,0,0,0,0,1,0,0,0,مغرية
0,0,0,0,0,0,0,0,0,0,إشارة
0,0,0,0,0,0,0,0,0,0,الغريني
0,0,0,0,0,0,1,0,0,1,حليف
0,0,0,0,0,0,0,0,0,0,تقويم
0,0,0,0,0,0,1,0,0,0,عز وجل
0,0,0,0,0,0,0,0,0,0,عاليا
0,1,0,0,1,0,1,0,0,0,الوها
0,0,0,0,0,0,0,0,0,0,جنبا إلى جنب
0,0,0,0,0,1,0,0,0,0,منعزل
0,0,0,0,0,0,0,0,0,0,بصوت عال
0,0,0,0,0,0,0,0,0,0,الأبجدية
0,0,0,0,0,0,0,0,0,0,مرتب حسب الحروف الأبجدية
0,0,0,0,0,0,0,0,0,0,مذبح
0,0,0,0,0,0,0,0,0,0,تبديل
0,0,0,0,0,0,0,0,0,0,تغيير
1,0,0,0,0,1,0,0,0,0,مشادة
0,0,0,0,0,0,0,0,0,0,تغيير
0,0,0,0,0,0,0,0,0,0,البديل
0,0,0,0,0,0,0,0,0,0,لبديل
0,0,0,0,0,0,0,0,0,0,ارتفاع
0,0,0,0,0,0,0,0,0,0,ألتو
0,0,0,0,0,0,0,0,0,0,كليا
0,0,0,0,0,0,0,0,0,0,خريج الجامعه
0,0,0,0,0,0,0,0,0,0,اللسان وسقف الفم
0,0,0,0,0,0,0,0,0,0,ملغم
0,0,0,0,0,0,0,0,0,0,الدمج
0,0,0,0,0,0,0,0,0,0,جمع
0,0,0,0,0,0,0,0,0,0,هواة
0,0,0,0,0,0,0,0,1,0,تدهش
0,0,0,0,0,0,0,0,0,0,دهشة
0,0,0,0,1,0,1,0,1,0,مثير للدهشة
0,0,0,0,0,0,1,0,0,1,سفير
0,0,0,0,0,0,0,0,0,0,العنبر
0,0,0,0,0,0,0,0,0,0,محيط ب
0,0,0,0,0,0,0,0,0,0,التباس
0,0,0,0,0,1,0,0,0,0,غامض
0,0,0,0,0,0,0,0,0,0,نطاق
0,1,0,0,1,0,1,0,0,1,طموح
0,0,0,0,0,0,0,0,0,0,طموح
0,0,0,1,0,0,0,0,0,1,سياره اسعاف
1,0,0,1,0,1,0,0,1,0,كمين
0,0,0,0,0,0,1,0,0,0,تحسين
0,0,0,0,1,0,1,0,0,1,آمين
0,0,0,0,0,0,1,0,0,0,قابل
0,0,0,0,0,0,1,0,0,0,يعدل
0,0,0,0,0,0,0,0,0,0,تعديل
0,0,0,0,0,0,1,0,0,0,يعدل
0,0,0,0,0,0,1,0,0,0,الراحة
0,0,0,0,0,0,0,0,0,0,جمشت
0,0,0,0,0,0,1,0,0,0,ودي
0,0,0,0,1,0,1,0,0,0,ظريف
0,0,0,0,0,0,0,0,0,0,وسط
0,0,0,0,0,0,0,0,0,0,وسط
0,0,1,0,0,0,0,0,0,0,الأمونيا
0,0,0,0,0,0,0,0,0,0,ذخيرة
0,0,0,0,0,1,0,0,0,0,فقدان الذاكرة
0,0,0,0,1,0,1,0,0,0,عفو
0,0,0,0,0,0,0,0,0,0,عديم الشكل
0,0,0,0,0,0,0,0,0,1,الإطفاء
0,0,0,0,0,0,0,0,0,0,مقدار
0,1,0,0,1,0,1,0,0,1,amour
0,0,0,0,0,0,0,0,0,0,علامة العطف
0,0,1,0,0,1,0,0,0,0,الأمفيتامينات
0,0,0,0,0,0,0,0,0,0,البرمائيات
0,0,0,0,0,0,0,0,0,0,برمائي
0,0,0,0,0,0,0,0,0,0,المدرج
0,0,0,0,0,0,0,0,0,0,تضخيم
0,0,0,0,0,0,0,0,0,0,يضخم، يوسع، يبالغ
0,0,0,0,0,0,0,0,0,0,السعة
0,0,0,0,0,0,0,0,0,0,بإسهاب
0,0,0,0,0,0,0,0,0,0,بتر
0,0,0,0,0,0,0,0,0,0,تميمة
0,0,0,0,1,0,1,0,0,0,سلى
0,0,0,0,1,0,1,0,0,0,مسليا
0,0,0,0,1,0,1,0,0,0,تسلية
0,0,0,0,1,0,1,0,0,0,مسلية
0,0,0,0,0,0,0,0,0,0,آنا
0,0,1,1,0,1,0,0,0,0,اناكوندا
0,0,0,0,0,0,0,0,0,0,تخدير
0,0,0,0,0,0,0,0,0,0,مخدر
0,0,0,0,0,1,0,0,0,0,شرجي
0,0,0,0,0,0,0,0,0,0,مسكن
0,0,0,0,0,0,0,0,0,0,مماثل
0,0,0,0,0,0,0,0,0,0,التناظرية
0,0,0,0,0,0,0,0,0,0,تشبيه
0,0,0,0,0,0,0,0,0,0,التحليلات
