anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Chinese-Simplified Word
0,0,0,0,0,0,0,0,0,0,吃惊
0,0,0,0,0,0,0,0,0,1,算盘
0,0,0,1,0,1,0,1,0,0,放弃
1,0,0,1,0,1,0,1,0,0,弃
1,0,0,1,0,1,0,1,1,0,放弃
0,0,0,0,0,0,0,0,0,0,减弱
0,0,0,0,0,0,0,0,0,0,减排
0,0,0,0,0,0,1,0,0,0,阿爸
0,0,0,0,0,0,0,0,0,1,方丈
0,0,0,0,0,0,0,0,0,0,缩写
0,0,0,0,0,0,0,0,0,0,缩写
0,0,0,0,0,0,0,0,0,0,腹部
0,0,0,0,0,0,0,0,0,0,腹部
0,0,0,1,0,1,0,1,1,0,绑架
0,0,0,0,0,1,0,0,0,0,异常
0,0,1,0,0,1,0,0,0,0,像差
0,0,0,0,0,0,0,0,0,0,暂停
1,0,1,1,0,1,0,0,0,0,痛恨
1,0,1,1,0,1,0,0,0,0,可恶的
0,0,0,0,0,0,0,0,0,0,遵守
0,0,0,0,0,0,1,0,0,0,能力
0,0,1,0,0,1,0,0,0,0,下贱的
0,0,0,0,0,0,0,0,0,0,消融
0,0,0,0,0,0,0,0,0,0,燃烧的
0,0,1,0,0,1,0,0,0,0,异常
0,0,0,0,0,0,0,0,0,0,船上
0,0,0,0,0,0,0,0,0,0,住所
1,0,0,0,0,1,0,0,0,0,废除
0,0,0,0,0,1,0,0,0,0,废除
0,0,1,1,0,1,0,0,0,0,可恶
1,0,1,1,0,1,0,0,0,0,厌恶
0,0,0,0,0,0,0,0,0,0,土著
0,0,0,0,0,1,0,0,0,0,中止
0,0,1,1,0,1,0,1,0,0,流产
0,0,0,0,0,1,0,1,0,0,未遂
0,0,0,0,0,0,0,0,0,0,盛产
0,0,0,0,0,0,1,0,0,0,上述
0,0,0,0,0,1,0,0,0,0,磨损
0,0,0,0,0,0,0,0,0,0,国外
0,0,0,0,0,1,0,0,0,0,废除
0,0,0,0,0,0,0,0,1,0,突然
0,0,0,0,0,0,0,0,0,0,突然
0,0,0,0,0,1,0,1,0,0,脓肿
0,0,0,1,0,1,0,1,0,0,缺席
0,0,0,0,0,1,0,1,0,0,缺席的
0,0,0,0,0,1,0,1,0,0,缺席者
0,0,0,0,0,1,0,0,0,0,旷工
0,0,0,0,0,0,0,0,0,0,苦艾酒
0,0,0,0,0,0,1,0,0,0,绝对
0,0,0,0,1,0,1,0,0,1,赦免
0,0,0,0,0,0,1,0,0,0,吸收
0,0,0,0,0,0,0,0,0,0,吸水
0,0,0,0,0,0,0,0,0,0,吸收
0,0,0,0,0,0,0,0,0,0,吸收
0,0,0,0,0,0,0,0,0,0,弃权
0,0,0,0,0,0,0,0,0,0,弃权
0,0,0,0,0,0,0,0,0,0,节制
0,0,0,0,0,0,0,0,0,0,抽象的
0,0,0,0,0,0,0,0,0,0,抽象
0,0,0,0,0,1,0,0,0,0,荒诞
0,0,0,0,0,1,0,0,0,0,荒谬
0,1,1,0,1,1,1,0,0,1,丰富
0,0,0,0,1,0,1,0,0,0,丰富
1,0,1,1,0,1,0,1,0,0,虐待
0,0,0,0,0,0,0,0,0,0,邻接
0,0,0,0,0,0,0,0,0,0,阿比
0,0,0,0,0,1,0,1,0,0,糟糕透了
0,0,0,1,0,1,0,1,0,0,深渊
0,0,0,0,0,0,1,0,0,1,学术的
0,0,0,0,0,0,1,0,0,0,学院
0,0,0,0,0,0,0,0,0,0,加入
0,1,0,0,0,0,0,0,0,0,加速
0,0,0,0,0,0,0,0,0,0,加速度
0,0,0,0,0,0,0,0,0,0,口音
0,0,0,0,0,0,0,0,0,0,强调
0,0,0,0,0,0,0,0,0,0,接受
0,0,0,0,0,0,1,0,0,0,可接受的
0,0,0,0,0,0,1,0,0,0,验收
0,0,0,0,0,0,0,0,0,0,使用权
0,0,0,0,0,0,1,0,0,0,无障碍
0,0,0,0,0,0,0,0,0,0,加入
0,0,0,0,0,0,0,0,0,0,配饰
0,0,0,1,0,1,0,1,1,0,事故
0,0,0,1,0,1,0,0,1,0,偶然
0,0,0,0,0,0,0,0,1,0,偶然
0,1,0,0,1,0,1,0,1,1,荣誉
0,0,0,0,0,0,0,0,0,0,容纳
0,0,0,0,0,0,1,0,0,0,住宿
0,1,0,0,1,0,1,0,0,1,伴奏
0,0,0,0,0,0,0,0,0,0,陪伴
0,0,0,0,0,0,0,0,0,0,随同
0,0,0,0,0,0,0,0,0,0,同案犯
0,0,0,0,1,0,1,0,0,0,完成
0,0,0,0,1,0,1,0,0,0,完成
0,0,0,0,0,0,1,0,0,0,成就
0,0,0,0,0,0,1,0,0,1,符合
0,0,0,0,0,0,0,0,0,0,按照
0,0,0,0,0,0,0,0,0,0,手风琴
0,0,0,0,0,0,0,0,0,1,帐户
0,0,0,0,0,0,1,0,0,1,问责制
0,0,0,0,0,0,1,0,0,1,负责任的
0,0,0,0,0,0,0,0,0,1,会计
0,0,0,0,0,0,0,0,0,0,会计
0,0,0,0,0,0,0,0,0,1,帐户
0,0,0,0,0,0,1,0,0,1,认可的
0,0,0,0,0,0,0,0,0,0,吸积
0,0,0,0,0,0,0,0,0,0,累积
0,0,0,0,0,0,1,0,0,0,累积
0,0,0,0,0,0,0,0,0,0,积累
0,0,0,0,0,0,0,0,0,0,积累
0,0,0,0,0,0,0,0,0,0,准确性
0,0,0,0,0,0,1,0,0,1,准确的
1,0,0,1,0,1,0,1,0,0,被诅咒的
1,0,1,0,0,1,0,0,0,0,指控
0,0,0,0,0,1,0,0,0,0,宾格
1,0,0,1,0,1,0,0,0,0,被告
1,0,0,1,0,1,0,0,0,0,原告
1,0,0,1,0,1,0,0,0,0,指责
0,0,0,0,0,0,0,0,0,0,习惯了
0,0,0,0,0,0,1,0,0,0,高手
0,0,0,0,0,0,0,0,0,0,醋酸
0,0,0,0,0,1,0,1,0,0,疼痛
0,0,0,0,1,0,1,0,0,1,达到
0,1,0,0,1,0,1,0,0,1,成就
0,0,0,0,0,1,0,1,0,0,疼痛
0,0,0,0,0,1,0,0,0,0,酸
0,0,0,0,0,0,0,0,0,0,酸度
0,0,0,0,0,0,0,0,0,0,承认
0,0,0,0,0,0,0,0,0,0,承认
0,0,0,0,0,0,1,0,0,0,致谢
0,0,0,0,0,0,0,0,0,0,极致
0,0,0,0,0,0,0,0,0,0,声学
0,0,0,0,0,0,0,0,0,0,声学
0,0,0,0,0,0,0,0,0,0,熟悉
