anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Chinese-Traditional Word
0,0,0,0,0,0,0,0,0,0,吃驚
0,0,0,0,0,0,0,0,0,1,算盤
0,0,0,1,0,1,0,1,0,0,放棄
1,0,0,1,0,1,0,1,0,0,棄
1,0,0,1,0,1,0,1,1,0,放棄
0,0,0,0,0,0,0,0,0,0,減弱
0,0,0,0,0,0,0,0,0,0,減排
0,0,0,0,0,0,1,0,0,0,阿爸
0,0,0,0,0,0,0,0,0,1,方丈
0,0,0,0,0,0,0,0,0,0,縮寫
0,0,0,0,0,0,0,0,0,0,縮寫
0,0,0,0,0,0,0,0,0,0,腹部
0,0,0,0,0,0,0,0,0,0,腹部
0,0,0,1,0,1,0,1,1,0,綁架
0,0,0,0,0,1,0,0,0,0,異常
0,0,1,0,0,1,0,0,0,0,像差
0,0,0,0,0,0,0,0,0,0,暫停
1,0,1,1,0,1,0,0,0,0,痛恨
1,0,1,1,0,1,0,0,0,0,可惡的
0,0,0,0,0,0,0,0,0,0,遵守
0,0,0,0,0,0,1,0,0,0,能力
0,0,1,0,0,1,0,0,0,0,下賤的
0,0,0,0,0,0,0,0,0,0,消融
0,0,0,0,0,0,0,0,0,0,燃燒的
0,0,1,0,0,1,0,0,0,0,異常
0,0,0,0,0,0,0,0,0,0,船上
0,0,0,0,0,0,0,0,0,0,住所
1,0,0,0,0,1,0,0,0,0,廢除
0,0,0,0,0,1,0,0,0,0,廢除
0,0,1,1,0,1,0,0,0,0,可惡
1,0,1,1,0,1,0,0,0,0,厭惡
0,0,0,0,0,0,0,0,0,0,土著
0,0,0,0,0,1,0,0,0,0,中止
0,0,1,1,0,1,0,1,0,0,流產
0,0,0,0,0,1,0,1,0,0,未遂
0,0,0,0,0,0,0,0,0,0,盛產
0,0,0,0,0,0,1,0,0,0,上述
0,0,0,0,0,1,0,0,0,0,磨損
0,0,0,0,0,0,0,0,0,0,國外
0,0,0,0,0,1,0,0,0,0,廢除
0,0,0,0,0,0,0,0,1,0,突然
0,0,0,0,0,0,0,0,0,0,突然
0,0,0,0,0,1,0,1,0,0,膿腫
0,0,0,1,0,1,0,1,0,0,缺席
0,0,0,0,0,1,0,1,0,0,缺席的
0,0,0,0,0,1,0,1,0,0,缺席者
0,0,0,0,0,1,0,0,0,0,曠工
0,0,0,0,0,0,0,0,0,0,苦艾酒
0,0,0,0,0,0,1,0,0,0,絕對
0,0,0,0,1,0,1,0,0,1,赦免
0,0,0,0,0,0,1,0,0,0,吸收
0,0,0,0,0,0,0,0,0,0,吸水
0,0,0,0,0,0,0,0,0,0,吸收
0,0,0,0,0,0,0,0,0,0,吸收
0,0,0,0,0,0,0,0,0,0,棄權
0,0,0,0,0,0,0,0,0,0,棄權
0,0,0,0,0,0,0,0,0,0,節制
0,0,0,0,0,0,0,0,0,0,抽象的
0,0,0,0,0,0,0,0,0,0,抽象
0,0,0,0,0,1,0,0,0,0,荒誕
0,0,0,0,0,1,0,0,0,0,荒謬
0,1,1,0,1,1,1,0,0,1,豐富
0,0,0,0,1,0,1,0,0,0,豐富
1,0,1,1,0,1,0,1,0,0,虐待
0,0,0,0,0,0,0,0,0,0,鄰接
0,0,0,0,0,0,0,0,0,0,阿比
0,0,0,0,0,1,0,1,0,0,糟糕透了
0,0,0,1,0,1,0,1,0,0,深淵
0,0,0,0,0,0,1,0,0,1,學術的
0,0,0,0,0,0,1,0,0,0,學院
0,0,0,0,0,0,0,0,0,0,加入
0,1,0,0,0,0,0,0,0,0,加速
0,0,0,0,0,0,0,0,0,0,加速度
0,0,0,0,0,0,0,0,0,0,口音
0,0,0,0,0,0,0,0,0,0,強調
0,0,0,0,0,0,0,0,0,0,接受
0,0,0,0,0,0,1,0,0,0,可接受的
0,0,0,0,0,0,1,0,0,0,驗收
0,0,0,0,0,0,0,0,0,0,使用權
0,0,0,0,0,0,1,0,0,0,無障礙
0,0,0,0,0,0,0,0,0,0,加入
0,0,0,0,0,0,0,0,0,0,配飾
0,0,0,1,0,1,0,1,1,0,事故
0,0,0,1,0,1,0,0,1,0,偶然
0,0,0,0,0,0,0,0,1,0,偶然
0,1,0,0,1,0,1,0,1,1,榮譽
0,0,0,0,0,0,0,0,0,0,容納
0,0,0,0,0,0,1,0,0,0,住宿
0,1,0,0,1,0,1,0,0,1,伴奏
0,0,0,0,0,0,0,0,0,0,陪伴
0,0,0,0,0,0,0,0,0,0,隨同
0,0,0,0,0,0,0,0,0,0,同案犯
0,0,0,0,1,0,1,0,0,0,完成
0,0,0,0,1,0,1,0,0,0,完成
0,0,0,0,0,0,1,0,0,0,成就
0,0,0,0,0,0,1,0,0,1,符合
0,0,0,0,0,0,0,0,0,0,按照
0,0,0,0,0,0,0,0,0,0,手風琴
0,0,0,0,0,0,0,0,0,1,帳戶
0,0,0,0,0,0,1,0,0,1,問責制
0,0,0,0,0,0,1,0,0,1,負責任的
0,0,0,0,0,0,0,0,0,1,會計
0,0,0,0,0,0,0,0,0,0,會計
0,0,0,0,0,0,0,0,0,1,帳戶
0,0,0,0,0,0,1,0,0,1,認可的
0,0,0,0,0,0,0,0,0,0,吸積
0,0,0,0,0,0,0,0,0,0,累積
0,0,0,0,0,0,1,0,0,0,累積
0,0,0,0,0,0,0,0,0,0,積累
0,0,0,0,0,0,0,0,0,0,積累
0,0,0,0,0,0,0,0,0,0,準確性
0,0,0,0,0,0,1,0,0,1,準確的
1,0,0,1,0,1,0,1,0,0,被詛咒的
1,0,1,0,0,1,0,0,0,0,指控
0,0,0,0,0,1,0,0,0,0,賓格
1,0,0,1,0,1,0,0,0,0,被告
1,0,0,1,0,1,0,0,0,0,原告
1,0,0,1,0,1,0,0,0,0,指責
0,0,0,0,0,0,0,0,0,0,習慣了
0,0,0,0,0,0,1,0,0,0,高手
0,0,0,0,0,0,0,0,0,0,醋酸
0,0,0,0,0,1,0,1,0,0,疼痛
0,0,0,0,1,0,1,0,0,1,達到
0,1,0,0,1,0,1,0,0,1,成就
0,0,0,0,0,1,0,1,0,0,疼痛
0,0,0,0,0,1,0,0,0,0,酸
0,0,0,0,0,0,0,0,0,0,酸度
0,0,0,0,0,0,0,0,0,0,承認
0,0,0,0,0,0,0,0,0,0,承認
0,0,0,0,0,0,1,0,0,0,致謝
0,0,0,0,0,0,0,0,0,0,極致
0,0,0,0,0,0,0,0,0,0,聲學
0,0,0,0,0,0,0,0,0,0,聲學
0,0,0,0,0,0,0,0,0,0,熟悉
0,0,0,0,0,0,0,0,0,0,熟人
0,0,0,0,0,0,0,0,0,0,熟悉的
0,0,0,0,0,0,0,0,0,0,默認
0,0,0,0,0,0,1,0,0,0,獲得
0,1,0,0,0,0,1,0,0,0,獲取
