anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,French Word
0,0,0,0,0,0,0,0,0,0,surpris
0,0,0,0,0,0,0,0,0,1,abaque
0,0,0,1,0,1,0,1,0,0,abandonner
1,0,0,1,0,1,0,1,0,0,abandonné
1,0,0,1,0,1,0,1,1,0,abandon
0,0,0,0,0,0,0,0,0,0,diminuer
0,0,0,0,0,0,0,0,0,0,réduction
0,0,0,0,0,0,1,0,0,0,abba
0,0,0,0,0,0,0,0,0,1,abbé
0,0,0,0,0,0,0,0,0,0,abréger
0,0,0,0,0,0,0,0,0,0,abréviation
0,0,0,0,0,0,0,0,0,0,abdomen
0,0,0,0,0,0,0,0,0,0,abdominal
0,0,0,1,0,1,0,1,1,0,enlèvement
0,0,0,0,0,1,0,0,0,0,aberrant
0,0,1,0,0,1,0,0,0,0,aberration
0,0,0,0,0,0,0,0,0,0,situation en suspens
1,0,1,1,0,1,0,0,0,0,abhorrer
1,0,1,1,0,1,0,0,0,0,odieux
0,0,0,0,0,0,0,0,0,0,se conformer
0,0,0,0,0,0,1,0,0,0,aptitude
0,0,1,0,0,1,0,0,0,0,abject
0,0,0,0,0,0,0,0,0,0,ablation
0,0,0,0,0,0,0,0,0,0,en feu
0,0,1,0,0,1,0,0,0,0,anormal
0,0,0,0,0,0,0,0,0,0,une planche
0,0,0,0,0,0,0,0,0,0,demeure
1,0,0,0,0,1,0,0,0,0,abolir
0,0,0,0,0,1,0,0,0,0,abolition
0,0,1,1,0,1,0,0,0,0,abominable
1,0,1,1,0,1,0,0,0,0,abomination
0,0,0,0,0,0,0,0,0,0,Aborigène
0,0,0,0,0,1,0,0,0,0,avorter
0,0,1,1,0,1,0,1,0,0,Avortement
0,0,0,0,0,1,0,1,0,0,abortif
0,0,0,0,0,0,0,0,0,0,abonder
0,0,0,0,0,0,1,0,0,0,mentionné ci-dessus
0,0,0,0,0,1,0,0,0,0,abrasion
0,0,0,0,0,0,0,0,0,0,à l'étranger
0,0,0,0,0,1,0,0,0,0,abroger
0,0,0,0,0,0,0,0,1,0,brusque
0,0,0,0,0,0,0,0,0,0,brusquement
0,0,0,0,0,1,0,1,0,0,abcès
0,0,0,1,0,1,0,1,0,0,absence
0,0,0,0,0,1,0,1,0,0,absent
0,0,0,0,0,1,0,1,0,0,absent
0,0,0,0,0,1,0,0,0,0,absentéisme
0,0,0,0,0,0,0,0,0,0,Absinthe
0,0,0,0,0,0,1,0,0,0,absolu
0,0,0,0,1,0,1,0,0,1,absolution
0,0,0,0,0,0,1,0,0,0,absorbé
0,0,0,0,0,0,0,0,0,0,absorbant
0,0,0,0,0,0,0,0,0,0,absorbant
0,0,0,0,0,0,0,0,0,0,absorption
0,0,0,0,0,0,0,0,0,0,abstention
0,0,0,0,0,0,0,0,0,0,abstention
0,0,0,0,0,0,0,0,0,0,abstinence
0,0,0,0,0,0,0,0,0,0,abstrait
0,0,0,0,0,0,0,0,0,0,abstraction
0,0,0,0,0,1,0,0,0,0,absurde
0,0,0,0,0,1,0,0,0,0,absurdité
0,1,1,0,1,1,1,0,0,1,abondance
0,0,0,0,1,0,1,0,0,0,abondant
1,0,1,1,0,1,0,1,0,0,abuser de
0,0,0,0,0,0,0,0,0,0,butée
0,0,0,0,0,0,0,0,0,0,aby
0,0,0,0,0,1,0,1,0,0,épouvantable
0,0,0,1,0,1,0,1,0,0,abîme
0,0,0,0,0,0,1,0,0,1,académique
0,0,0,0,0,0,1,0,0,0,académie
0,0,0,0,0,0,0,0,0,0,adhérer
0,1,0,0,0,0,0,0,0,0,accélérer
0,0,0,0,0,0,0,0,0,0,accélération
0,0,0,0,0,0,0,0,0,0,accent
0,0,0,0,0,0,0,0,0,0,accentuer
0,0,0,0,0,0,0,0,0,0,J'accepte
0,0,0,0,0,0,1,0,0,0,acceptable
0,0,0,0,0,0,1,0,0,0,acceptation
0,0,0,0,0,0,0,0,0,0,accéder
0,0,0,0,0,0,1,0,0,0,accessible
0,0,0,0,0,0,0,0,0,0,accession
0,0,0,0,0,0,0,0,0,0,accessoire
0,0,0,1,0,1,0,1,1,0,accident
0,0,0,1,0,1,0,0,1,0,accidentel
0,0,0,0,0,0,0,0,1,0,accidentellement
0,1,0,0,1,0,1,0,1,1,accolade
0,0,0,0,0,0,0,0,0,0,accommoder
0,0,0,0,0,0,1,0,0,0,logement
0,1,0,0,1,0,1,0,0,1,accompagnement
0,0,0,0,0,0,0,0,0,0,accompagner
0,0,0,0,0,0,0,0,0,0,accompagnement
0,0,0,0,0,0,0,0,0,0,complice
