anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,Spanish Word
0,0,0,0,0,0,0,0,0,0,detrás
0,0,0,0,0,0,0,0,0,1,ábaco
0,0,0,1,0,1,0,1,0,0,abandonar
1,0,0,1,0,1,0,1,0,0,abandonado
1,0,0,1,0,1,0,1,1,0,abandono
0,0,0,0,0,0,0,0,0,0,disminuir
0,0,0,0,0,0,0,0,0,0,disminución
0,0,0,0,0,0,1,0,0,0,abba
0,0,0,0,0,0,0,0,0,1,abad
0,0,0,0,0,0,0,0,0,0,abreviar
0,0,0,0,0,0,0,0,0,0,abreviatura
0,0,0,0,0,0,0,0,0,0,abdomen
0,0,0,0,0,0,0,0,0,0,abdominal
0,0,0,1,0,1,0,1,1,0,secuestro
0,0,0,0,0,1,0,0,0,0,aberrante
0,0,1,0,0,1,0,0,0,0,aberración
0,0,0,0,0,0,0,0,0,0,suspensión
1,0,1,1,0,1,0,0,0,0,aborrecer
1,0,1,1,0,1,0,0,0,0,aborrecible
0,0,0,0,0,0,0,0,0,0,cumplir
0,0,0,0,0,0,1,0,0,0,capacidad
0,0,1,0,0,1,0,0,0,0,abyecto
0,0,0,0,0,0,0,0,0,0,ablación
0,0,0,0,0,0,0,0,0,0,ardiendo
0,0,1,0,0,1,0,0,0,0,anormal
0,0,0,0,0,0,0,0,0,0,a bordo
0,0,0,0,0,0,0,0,0,0,morada
1,0,0,0,0,1,0,0,0,0,abolir
0,0,0,0,0,1,0,0,0,0,abolición
0,0,1,1,0,1,0,0,0,0,abominable
1,0,1,1,0,1,0,0,0,0,abominación
0,0,0,0,0,0,0,0,0,0,aborigen
0,0,0,0,0,1,0,0,0,0,abortar
0,0,1,1,0,1,0,1,0,0,aborto
0,0,0,0,0,1,0,1,0,0,abortivo
0,0,0,0,0,0,0,0,0,0,abundar
0,0,0,0,0,0,1,0,0,0,anteriormente mencionado
0,0,0,0,0,1,0,0,0,0,abrasión
0,0,0,0,0,0,0,0,0,0,extranjero
0,0,0,0,0,1,0,0,0,0,abrogar
0,0,0,0,0,0,0,0,1,0,abrupto
0,0,0,0,0,0,0,0,0,0,abruptamente
0,0,0,0,0,1,0,1,0,0,absceso
0,0,0,1,0,1,0,1,0,0,ausencia
0,0,0,0,0,1,0,1,0,0,ausente
0,0,0,0,0,1,0,1,0,0,ausente
0,0,0,0,0,1,0,0,0,0,absentismo
0,0,0,0,0,0,0,0,0,0,Ajenjo
0,0,0,0,0,0,1,0,0,0,absoluto
0,0,0,0,1,0,1,0,0,1,absolución
0,0,0,0,0,0,1,0,0,0,absorbido
0,0,0,0,0,0,0,0,0,0,absorbente
0,0,0,0,0,0,0,0,0,0,absorbente
0,0,0,0,0,0,0,0,0,0,absorción
0,0,0,0,0,0,0,0,0,0,abstenerse
0,0,0,0,0,0,0,0,0,0,abstención
0,0,0,0,0,0,0,0,0,0,abstinencia
0,0,0,0,0,0,0,0,0,0,resumen
0,0,0,0,0,0,0,0,0,0,abstracción
0,0,0,0,0,1,0,0,0,0,absurdo
0,0,0,0,0,1,0,0,0,0,absurdo
0,1,1,0,1,1,1,0,0,1,abundancia
0,0,0,0,1,0,1,0,0,0,abundante
1,0,1,1,0,1,0,1,0,0,abuso
0,0,0,0,0,0,0,0,0,0,contrafuerte
0,0,0,0,0,0,0,0,0,0,aby
0,0,0,0,0,1,0,1,0,0,abismal
0,0,0,1,0,1,0,1,0,0,abismo
0,0,0,0,0,0,1,0,0,1,académico
0,0,0,0,0,0,1,0,0,0,academia
