word,emotion,condition
فوجئ,anger,0
طبلية تاج,anger,0
تخلى,anger,0
مهجور,anger,1
التخلي عن,anger,1
خف,anger,0
تخفيف,anger,0
أبا,anger,0
رئيس الدير,anger,0
اختصر,anger,0
اختصار,anger,0
البطن,anger,0
البطني,anger,0
اختطاف,anger,0
ضلال,anger,0
انحراف,anger,0
تعليق,anger,0
يبغض,anger,1
مقيت,anger,1
يلتزم,anger,0
قدرة,anger,0
حقير,anger,0
استئصال,anger,0
مشتعل,anger,0
غير طبيعي,anger,0
على متن سفينة,anger,0
مسكن,anger,0
تلغي,anger,1
إلغاء,anger,0
بغيضة,anger,0
رجس - مقت شديد، عمل بغيض,anger,1
من السكان الأصليين,anger,0
إجهاض,anger,0
إجهاض,anger,0
مجهض,anger,0
يزخر,anger,0
المذكورة أعلاه,anger,0
تآكل,anger,0
خارج البلاد,anger,0
فسخ,anger,0
شديد الأنحدار,anger,0
بشكل مفاجئ,anger,0
خراج,anger,0
غياب,anger,0
غائب,anger,0
متغيب عن العمل,anger,0
التغيب,anger,0
الأفسنتين,anger,0
مطلق,anger,0
الغفران,anger,0
يمتص,anger,0
ماص,anger,0
تمتص,anger,0
استيعاب,anger,0
امتنع,anger,0
الامتناع,anger,0
الامتناع,anger,0
نبذة مختصرة,anger,0
التجريد,anger,0
سخيف,anger,0
سخافة,anger,0
وفرة,anger,0
وفير,anger,0
تعاطي,anger,1
دعامة,anger,0
أبي,anger,0
سيئ,anger,0
هاوية,anger,0
أكاديمي,anger,0
الأكاديمية,anger,0
تنضم,anger,0
تسريع,anger,0
التسريع,anger,0
لهجة,anger,0
إبراز,anger,0
قبول,anger,0
مقبول,anger,0
قبول,anger,0
التمكن من,anger,0
يمكن الوصول,anger,0
انضمام,anger,0
ملحق,anger,0
حادثة,anger,0
عرضي,anger,0
بطريق الخطأ,anger,0
احتضان,anger,0
يستوعب,anger,0
الإقامة,anger,0
مرافقة,anger,0
مرافقة,anger,0
مصاحب,anger,0
شريك,anger,0
ينجز,anger,0
مُتَفَوِّق,anger,0
إنجاز,anger,0
اتفاق,anger,0
وفقا,anger,0
الأكورديون,anger,0
الحساب,anger,0
مسئولية,anger,0
مسؤول,anger,0
محاسب,anger,0
محاسبة,anger,0
حسابات,anger,0
معتمد,anger,0
التراكم,anger,0
تعود,anger,0
Accueil,anger,0
جمع,anger,0
تراكم,anger,0
صحة,anger,0
دقيق,anger,0
ملعون,anger,1
الاتهام,anger,1
حالة النصب,anger,0
المتهم,anger,1
المتهم,anger,1
يتهم,anger,1
معتاد,anger,0
أجاد,anger,0
اسيتيك,anger,0
وجع,anger,0
التوصل,anger,0
إنجاز,anger,0
وجع,anger,0
حامض,anger,0
حموضة,anger,0
يُقرّ,anger,0
اعترف,anger,0
إعتراف,anger,0
ذروة,anger,0
صوتي,anger,0
الصوتيات,anger,0
إطلاع الشخص علي,anger,0
التعارف,anger,0
تعرف,anger,0
إذعان على مضض,anger,0
يستحوذ على,anger,0
الحصول,anger,0
استحواذ,anger,0
المقتنيات,anger,0
مساحة,anger,0
فدان,anger,0
بهلوان,anger,0
فعل,anger,0
التمثيل,anger,0
عمل,anger,0
فعالة,anger,1
نشيط,anger,0
نشاط,anger,0
الممثل,anger,0
فِعلي,anger,0
حقيقة,anger,0
الخبير الاكتواري,anger,0
حدة,anger,0
الفطنة,anger,0
العلاج بالإبر,anger,0
بشكل حاد,anger,0
القول المأثور,anger,0
مصر على رأيه,anger,0
يتكيف,anger,0
قابل للتكيف,anger,0
يضيف,anger,0
مضاف,anger,0
إضافة,anger,0
الأفعى,anger,1
مدمن,anger,0
إضافة,anger,0
إضافي,anger,0
مادة مضافة,anger,0
تبوك,anger,0
المرسل إليه,anger,0
عناوين,anger,0
بارع,anger,0
قدرة,anger,0
مناسب,anger,0
يتمسك,anger,0
التقيد,anger,0
نصير,anger,0
الانضمام,anger,0
