word,emotion,condition
吃惊,anger,0
算盘,anger,0
放弃,anger,0
弃,anger,1
放弃,anger,1
减弱,anger,0
减排,anger,0
阿爸,anger,0
方丈,anger,0
缩写,anger,0
缩写,anger,0
腹部,anger,0
腹部,anger,0
绑架,anger,0
异常,anger,0
像差,anger,0
暂停,anger,0
痛恨,anger,1
可恶的,anger,1
遵守,anger,0
能力,anger,0
下贱的,anger,0
消融,anger,0
燃烧的,anger,0
异常,anger,0
船上,anger,0
住所,anger,0
废除,anger,1
废除,anger,0
可恶,anger,0
厌恶,anger,1
土著,anger,0
中止,anger,0
流产,anger,0
未遂,anger,0
盛产,anger,0
上述,anger,0
磨损,anger,0
国外,anger,0
废除,anger,0
突然,anger,0
突然,anger,0
脓肿,anger,0
缺席,anger,0
缺席的,anger,0
缺席者,anger,0
旷工,anger,0
苦艾酒,anger,0
绝对,anger,0
赦免,anger,0
吸收,anger,0
吸水,anger,0
吸收,anger,0
吸收,anger,0
弃权,anger,0
弃权,anger,0
节制,anger,0
抽象的,anger,0
抽象,anger,0
荒诞,anger,0
荒谬,anger,0
丰富,anger,0
丰富,anger,0
虐待,anger,1
邻接,anger,0
阿比,anger,0
糟糕透了,anger,0
深渊,anger,0
学术的,anger,0
学院,anger,0
加入,anger,0
加速,anger,0
加速度,anger,0
口音,anger,0
强调,anger,0
接受,anger,0
可接受的,anger,0
验收,anger,0
使用权,anger,0
无障碍,anger,0
加入,anger,0
配饰,anger,0
事故,anger,0
偶然,anger,0
偶然,anger,0
荣誉,anger,0
容纳,anger,0
住宿,anger,0
伴奏,anger,0
陪伴,anger,0
随同,anger,0
同案犯,anger,0
完成,anger,0
完成,anger,0
成就,anger,0
符合,anger,0
按照,anger,0
手风琴,anger,0
帐户,anger,0
问责制,anger,0
负责任的,anger,0
会计,anger,0
会计,anger,0
帐户,anger,0
认可的,anger,0
吸积,anger,0
累积,anger,0
累积,anger,0
积累,anger,0
积累,anger,0
准确性,anger,0
准确的,anger,0
被诅咒的,anger,1
指控,anger,1
宾格,anger,0
被告,anger,1
原告,anger,1
指责,anger,1
习惯了,anger,0
高手,anger,0
醋酸,anger,0
疼痛,anger,0
达到,anger,0
成就,anger,0
疼痛,anger,0
酸,anger,0
酸度,anger,0
承认,anger,0
承认,anger,0
致谢,anger,0
极致,anger,0
声学,anger,0
声学,anger,0
熟悉,anger,0
熟人,anger,0
熟悉的,anger,0
默认,anger,0
获得,anger,0
获取,anger,0
获得,anger,0
收购,anger,0
面积,anger,0
英亩,anger,0
杂技演员,anger,0
行为,anger,0
演戏,anger,0
行动,anger,0
可操作的,anger,1
积极的,anger,0
活动,anger,0
演员,anger,0
实际的,anger,0
现实,anger,0
精算师,anger,0
敏锐度,anger,0
敏锐,anger,0
针刺,anger,0
尖锐地,anger,0
谚语,anger,0
固执的,anger,0
适应,anger,0
适应性强,anger,0
添加,anger,0
添加,anger,0
附录,anger,0
加法器,anger,1
瘾,anger,0
添加,anger,0
额外的,anger,0
添加剂,anger,0
地址,anger,0
收件人,anger,0
地址,anger,0
行家,anger,0
充分性,anger,0
足够的,anger,0
坚持,anger,0
依从性,anger,0
依附的,anger,0
坚持,anger,0
附着力,anger,0
粘合剂,anger,0
再见,anger,0
脂肪,anger,0
邻接,anger,0
邻近的,anger,0
形容词,anger,0
毗邻的,anger,0
休会,anger,0
休会,anger,0
裁定,anger,0
裁决,anger,0
附件,anger,0
调整,anger,0
调整,anger,0
佐剂,anger,0
管理,anger,0
行政,anger,0
行政的,anger,0
令人钦佩,anger,0
上将,anger,0
金钟,anger,0
钦佩,anger,0
钦佩,anger,0
爱慕者,anger,0
可受理性,anger,0
可接受的,anger,0
录取,anger,0
承认,anger,0
准入,anger,0
录取,anger,0
承认,anger,0
混合物,anger,0
警告,anger,0
废话,anger,0
土坯,anger,0
青春期,anger,0
青少年,anger,0
采纳,anger,0
采用,anger,0
可爱的,anger,0
崇拜,anger,0
崇拜,anger,0
装饰,anger,0
装饰,anger,0
漂流,anger,0
成人,anger,0
掺假,anger,0
通奸,anger,0
进步,anger,0
先进的,anger,0
进步,anger,0
前进,anger,0
优势,anger,0
有利,anger,0
来临,anger,0
冒险,anger,0
冒险家,anger,0
冒险的,anger,0
对手,anger,1
不利的,anger,1
逆境,anger,1
广告,anger,0
广告,anger,0
建议,anger,0
可取的,anger,0
建议,anger,0
建议,anger,0
建议,anger,0
顾问,anger,0
倡导,anger,1
提倡,anger,0
宙斯盾,anger,0
通风,anger,0
天线,anger,0
机场,anger,0
空气动力学,anger,0
航空学,anger,0
飞机,anger,0
审美的,anger,0
美学,anger,0
病因学,anger,0
远方,anger,0
和蔼可亲,anger,0
事务,anger,0
影响,anger,0
感情,anger,0
感情,anger,0
贴文,anger,0
宣誓书,anger,0
附属,anger,0
联系,anger,0
亲和力,anger,0
确认,anger,0
肯定,anger,0
肯定,anger,0
肯定的,anger,0
词缀,anger,0
折磨,anger,0
受苦,anger,0
痛苦,anger,0
富裕,anger,0
富裕的,anger,0
买得起,anger,0
冒犯,anger,1
远方,anger,0
之前,anger,0
前述,anger,0
上述,anger,0
害怕,anger,0
重新,anger,0
船尾,anger,0
后果,anger,1
下午,anger,0
回味,anger,0
事后诸葛亮,anger,0
阿加,anger,0
玛瑙,anger,0
年龄,anger,0
陈年,anger,0
机构,anger,0
代理人,anger,0
集聚,anger,0
加重,anger,1
加重,anger,1
加重,anger,1
总计的,anger,0
聚合,anger,0
侵略,anger,1
挑衅的,anger,1
侵略者,anger,1
吓坏了,anger,0
敏捷,anger,0
敏捷,anger,0
激动,anger,1
搅动,anger,1
不可知论者,anger,0
前,anger,0
痛苦的,anger,0
痛苦,anger,1
同意,anger,0
合适的,anger,0
同意,anger,0
同意,anger,0
协议,anger,0
农业,anger,0
农业,anger,0
搁浅,anger,0
阿瓜,anger,0
先,anger,0
援助,anger,0
帮助,anger,0
全部,anger,0
生病了,anger,0
病痛,anger,0
目标,anger,0
漫无目的,anger,0
空气,anger,0
安全气囊,anger,0
空运,anger,0
航空公司,anger,0
空军,anger,0
飞机,anger,0
飞机场,anger,0
装腔作势,anger,0
飞艇,anger,0
