word,emotion,condition
吃驚,anger,0
算盤,anger,0
放棄,anger,0
棄,anger,1
放棄,anger,1
減弱,anger,0
減排,anger,0
阿爸,anger,0
方丈,anger,0
縮寫,anger,0
縮寫,anger,0
腹部,anger,0
腹部,anger,0
綁架,anger,0
異常,anger,0
像差,anger,0
暫停,anger,0
痛恨,anger,1
可惡的,anger,1
遵守,anger,0
能力,anger,0
下賤的,anger,0
消融,anger,0
燃燒的,anger,0
異常,anger,0
船上,anger,0
住所,anger,0
廢除,anger,1
廢除,anger,0
可惡,anger,0
厭惡,anger,1
土著,anger,0
中止,anger,0
流產,anger,0
未遂,anger,0
盛產,anger,0
上述,anger,0
磨損,anger,0
國外,anger,0
廢除,anger,0
突然,anger,0
突然,anger,0
膿腫,anger,0
缺席,anger,0
缺席的,anger,0
缺席者,anger,0
曠工,anger,0
苦艾酒,anger,0
絕對,anger,0
赦免,anger,0
吸收,anger,0
吸水,anger,0
吸收,anger,0
吸收,anger,0
棄權,anger,0
棄權,anger,0
節制,anger,0
抽象的,anger,0
抽象,anger,0
荒誕,anger,0
荒謬,anger,0
豐富,anger,0
豐富,anger,0
虐待,anger,1
鄰接,anger,0
阿比,anger,0
糟糕透了,anger,0
深淵,anger,0
學術的,anger,0
學院,anger,0
加入,anger,0
加速,anger,0
加速度,anger,0
口音,anger,0
強調,anger,0
接受,anger,0
可接受的,anger,0
驗收,anger,0
使用權,anger,0
無障礙,anger,0
加入,anger,0
配飾,anger,0
事故,anger,0
偶然,anger,0
偶然,anger,0
榮譽,anger,0
容納,anger,0
住宿,anger,0
伴奏,anger,0
陪伴,anger,0
隨同,anger,0
同案犯,anger,0
完成,anger,0
完成,anger,0
成就,anger,0
符合,anger,0
按照,anger,0
手風琴,anger,0
帳戶,anger,0
問責制,anger,0
負責任的,anger,0
會計,anger,0
會計,anger,0
帳戶,anger,0
認可的,anger,0
吸積,anger,0
累積,anger,0
累積,anger,0
積累,anger,0
積累,anger,0
準確性,anger,0
準確的,anger,0
被詛咒的,anger,1
指控,anger,1
賓格,anger,0
被告,anger,1
原告,anger,1
指責,anger,1
習慣了,anger,0
高手,anger,0
醋酸,anger,0
疼痛,anger,0
達到,anger,0
成就,anger,0
疼痛,anger,0
酸,anger,0
酸度,anger,0
承認,anger,0
承認,anger,0
致謝,anger,0
極致,anger,0
聲學,anger,0
聲學,anger,0
熟悉,anger,0
熟人,anger,0
熟悉的,anger,0
默認,anger,0
獲得,anger,0
獲取,anger,0
獲得,anger,0
收購,anger,0
面積,anger,0
英畝,anger,0
雜技演員,anger,0
行為,anger,0
演戲,anger,0
行動,anger,0
可操作的,anger,1
積極的,anger,0
活動,anger,0
演員,anger,0
實際的,anger,0
現實,anger,0
精算師,anger,0
敏銳度,anger,0
敏銳,anger,0
針刺,anger,0
尖銳地,anger,0
諺語,anger,0
固執的,anger,0
適應,anger,0
適應性強,anger,0
添加,anger,0
添加,anger,0
附錄,anger,0
加法器,anger,1
癮,anger,0
添加,anger,0
額外的,anger,0
添加劑,anger,0
地址,anger,0
收件人,anger,0
地址,anger,0
行家,anger,0
充分性,anger,0
足夠的,anger,0
堅持,anger,0
依從性,anger,0
依附的,anger,0
堅持,anger,0
附著力,anger,0
粘合劑,anger,0
再見,anger,0
脂肪,anger,0
鄰接,anger,0
鄰近的,anger,0
形容詞,anger,0
毗鄰的,anger,0
休會,anger,0
休會,anger,0
裁定,anger,0
裁決,anger,0
附件,anger,0
調整,anger,0
調整,anger,0
佐劑,anger,0
管理,anger,0
行政,anger,0
行政的,anger,0
令人欽佩,anger,0
上將,anger,0
金鐘,anger,0
欽佩,anger,0
欽佩,anger,0
愛慕者,anger,0
可受理性,anger,0
可接受的,anger,0
錄取,anger,0
承認,anger,0
准入,anger,0
錄取,anger,0
承認,anger,0
混合物,anger,0
警告,anger,0
廢話,anger,0
土坯,anger,0
青春期,anger,0
青少年,anger,0
採納,anger,0
採用,anger,0
可愛的,anger,0
崇拜,anger,0
崇拜,anger,0
裝飾,anger,0
裝飾,anger,0
漂流,anger,0
成人,anger,0
摻假,anger,0
通姦,anger,0
進步,anger,0
先進的,anger,0
進步,anger,0
前進,anger,0
優勢,anger,0
有利,anger,0
來臨,anger,0
冒險,anger,0
冒險家,anger,0
冒險的,anger,0
對手,anger,1
不利的,anger,1
逆境,anger,1
廣告,anger,0
廣告,anger,0
建議,anger,0
可取的,anger,0
建議,anger,0
建議,anger,0
建議,anger,0
顧問,anger,0
倡導,anger,1
提倡,anger,0
宙斯盾,anger,0
通風,anger,0
天線,anger,0
機場,anger,0
空氣動力學,anger,0
航空學,anger,0
飛機,anger,0
審美的,anger,0
美學,anger,0
病因學,anger,0
遠方,anger,0
和藹可親,anger,0
事務,anger,0
影響,anger,0
感情,anger,0
感情,anger,0
貼文,anger,0
宣誓書,anger,0
附屬,anger,0
聯繫,anger,0
親和力,anger,0
確認,anger,0
肯定,anger,0
肯定,anger,0
肯定的,anger,0
詞綴,anger,0
折磨,anger,0
受苦,anger,0
痛苦,anger,0
富裕,anger,0
富裕的,anger,0
買得起,anger,0
冒犯,anger,1
遠方,anger,0
之前,anger,0
前述,anger,0
上述,anger,0
害怕,anger,0
重新,anger,0
船尾,anger,0
後果,anger,1
下午,anger,0
回味,anger,0
事後諸葛亮,anger,0
阿加,anger,0
瑪瑙,anger,0
年齡,anger,0
陳年,anger,0
機構,anger,0
代理人,anger,0
集聚,anger,0
加重,anger,1
加重,anger,1
加重,anger,1
總計的,anger,0
聚合,anger,0
侵略,anger,1
挑釁的,anger,1
侵略者,anger,1
嚇壞了,anger,0
敏捷,anger,0
敏捷,anger,0
激動,anger,1
攪動,anger,1
不可知論者,anger,0
前,anger,0
痛苦的,anger,0
痛苦,anger,1
同意,anger,0
合適的,anger,0
同意,anger,0
同意,anger,0
協議,anger,0
農業,anger,0
農業,anger,0
擱淺,anger,0
阿瓜,anger,0
先,anger,0
援助,anger,0
幫助,anger,0
全部,anger,0
生病了,anger,0
病痛,anger,0
目標,anger,0
漫無目的,anger,0
空氣,anger,0
安全氣囊,anger,0
空運,anger,0
航空公司,anger,0
空軍,anger,0
飛機,anger,0
飛機場,anger,0
裝腔作勢,anger,0
飛艇,anger,0
走道,anger,0
艾特,anger,0
半開著,anger,0
類似的,anger,0
雪花石膏,anger,0
警報,anger,0
令人震驚的,anger,0
alb,anger,0
專輯,anger,0
煉金術,anger,0
酒精,anger,0
酗酒,anger,1
壁龕,anger,0
警報,anger,0
警覺,anger,0
警報,anger,0
苜蓿,anger,0
代數,anger,0
代數的,anger,0
算法,anger,0
不在場證明,anger,0
外星人,anger,0
離間,anger,1
疏遠,anger,0
異化,anger,1
下車,anger,0
對齊,anger,0
結盟,anger,0
一樣,anger,0
營養,anger,0
贍養費,anger,0
等分,anger,0
活,anger,0
鹼,anger,0
生物鹼,anger,0
緩和,anger,0
指控,anger,1
指控,anger,0
據稱,anger,0
忠誠,anger,0
寓言的,anger,0
寓言,anger,0
快板,anger,0
減輕,anger,0
緩解,anger,0
胡同,anger,0
聯盟,anger,0
盟軍,anger,0
鱷魚,anger,0
分配,anger,0
分配,anger,0
分配,anger,0
分配,anger,0
允許的,anger,0
津貼,anger,0
允許,anger,0
合金,anger,0
引誘,anger,0
誘人的,anger,0
典故,anger,0
沖積層,anger,0
盟國,anger,0
年曆,anger,0
萬能的,anger,0
高空,anger,0
阿羅哈,anger,0
旁邊,anger,0
超然,anger,0
大聲,anger,0
字母,anger,0
按字母順序,anger,0
壇,anger,0
改變,anger,0
改造,anger,0
爭吵,anger,1
改變,anger,0
備用,anger,0
選擇,anger,0
高度,anger,0
中音,anger,0
共,anger,0
校友,anger,0
肺泡,anger,0
汞合金,anger,0
合併,anger,0
積累,anger,0
業餘,anger,0
驚奇,anger,0
驚愕,anger,0
驚人地,anger,0
大使,anger,0
琥珀色,anger,0
周圍,anger,0
模棱兩可,anger,0
模糊的,anger,0
範圍,anger,0
志向,anger,0
雄心勃勃,anger,0
救護車,anger,0
伏擊,anger,1
改善,anger,0
阿門,anger,0
順從,anger,0
修正,anger,0
修正案,anger,0
修正,anger,0
便利設施,anger,0
紫晶,anger,0
可親,anger,0
友善的,anger,0
之中,anger,0
當中,anger,0
氨,anger,0
彈藥,anger,0
健忘症,anger,0
大赦,anger,0
無定形,anger,0
攤銷,anger,0
數量,anger,0
戀情,anger,0
和號,anger,0
苯丙胺類,anger,0
兩棲動物,anger,0
水陸兩用,anger,0
圓形劇場,anger,0
放大,anger,0
放大,anger,0
振幅,anger,0
充分,anger,0
