word,emotion,condition
surpris,anger,0
abaque,anger,0
abandonner,anger,0
abandonné,anger,1
abandon,anger,1
diminuer,anger,0
réduction,anger,0
abba,anger,0
abbé,anger,0
abréger,anger,0
abréviation,anger,0
abdomen,anger,0
abdominal,anger,0
enlèvement,anger,0
aberrant,anger,0
aberration,anger,0
situation en suspens,anger,0
abhorrer,anger,1
odieux,anger,1
se conformer,anger,0
aptitude,anger,0
abject,anger,0
ablation,anger,0
en feu,anger,0
anormal,anger,0
une planche,anger,0
demeure,anger,0
abolir,anger,1
abolition,anger,0
abominable,anger,0
abomination,anger,1
Aborigène,anger,0
avorter,anger,0
Avortement,anger,0
abortif,anger,0
abonder,anger,0
mentionné ci-dessus,anger,0
abrasion,anger,0
à l'étranger,anger,0
abroger,anger,0
brusque,anger,0
brusquement,anger,0
abcès,anger,0
absence,anger,0
absent,anger,0
absent,anger,0
absentéisme,anger,0
Absinthe,anger,0
absolu,anger,0
absolution,anger,0
absorbé,anger,0
absorbant,anger,0
absorbant,anger,0
absorption,anger,0
abstention,anger,0
abstention,anger,0
abstinence,anger,0
abstrait,anger,0
abstraction,anger,0
absurde,anger,0
absurdité,anger,0
abondance,anger,0
abondant,anger,0
abuser de,anger,1
butée,anger,0
aby,anger,0
épouvantable,anger,0
abîme,anger,0
académique,anger,0
académie,anger,0
adhérer,anger,0
accélérer,anger,0
accélération,anger,0
accent,anger,0
accentuer,anger,0
J'accepte,anger,0
acceptable,anger,0
acceptation,anger,0
accéder,anger,0
accessible,anger,0
accession,anger,0
accessoire,anger,0
accident,anger,0
accidentel,anger,0
accidentellement,anger,0
accolade,anger,0
accommoder,anger,0
logement,anger,0
accompagnement,anger,0
accompagner,anger,0
accompagnement,anger,0
complice,anger,0
accomplir,anger,0
réalisé,anger,0
accomplissement,anger,0
accord,anger,0
conformité,anger,0
accordéon,anger,0
Compte,anger,0
responsabilité,anger,0
redevable,anger,0
comptable,anger,0
comptabilité,anger,0
comptes,anger,0
accrédité,anger,0
accumulation,anger,0
s'accumuler,anger,0
accueil,anger,0
accumuler,anger,0
accumulation,anger,0
précision,anger,0
exact,anger,0
maudit,anger,1
accusation,anger,1
accusatif,anger,0
accusé,anger,1
accusateur,anger,1
accuser,anger,1
habitué,anger,0
as,anger,0
acétique,anger,0
mal,anger,0
atteindre,anger,0
réalisation,anger,0
douloureux,anger,0
acide,anger,0
acidité,anger,0
reconnaître,anger,0
reconnu,anger,0
reconnaissance,anger,0
acmé,anger,0
acoustique,anger,0
acoustique,anger,0
informer,anger,0
connaissance,anger,0
connaissance,anger,0
consentement,anger,0
acquérir,anger,0
acquérir,anger,0
acquisition,anger,0
acquisitions,anger,0
superficie,anger,0
acres,anger,0
acrobate,anger,0
loi,anger,0
agissant,anger,0
action,anger,0
exploitable,anger,1
actif,anger,0
activité,anger,0
acteur de cinéma,anger,0
réel,anger,0
actualité,anger,0
actuaire,anger,0
acuité,anger,0
perspicacité,anger,0
acupuncture,anger,0
intensément,anger,0
adage,anger,0
catégorique,anger,0
adapter,anger,0
adaptable,anger,0
ajouter,anger,0
ajoutée,anger,0
Addenda,anger,0
additionneur,anger,1
dépendance,anger,0
ajout,anger,0
Additionnel,anger,0
additif,anger,0
adresse,anger,0
destinataire,anger,0
adresses,anger,0
expert,anger,0
adéquation,anger,0
adéquat,anger,0
adhérer,anger,0
adhérence,anger,0
adhérent,anger,0
adhérer,anger,0
adhésion,anger,0
