Korean Word,Emotion,Condition
당황,anger,0
주판,anger,0
버리다,anger,0
버려진,anger,1
포기,anger,1
감소,anger,0
감소,anger,0
아바,anger,0
대 수도 원장,anger,0
줄여 쓰다,anger,0
약어,anger,0
복부,anger,0
복부,anger,0
유 괴,anger,0
이상한,anger,0
수차,anger,0
중지,anger,0
혐오하다,anger,1
혐오스러운,anger,1
머물다,anger,0
능력,anger,0
비열한,anger,0
제거,anger,0
불타는,anger,0
이상,anger,0
배로,anger,0
거처,anger,0
폐하다,anger,1
폐지,anger,0
가증스러운,anger,0
질색,anger,1
원주민,anger,0
중단하다,anger,0
낙태,anger,0
낙태,anger,0
많이 있다,anger,0
위에서 언급한,anger,0
연마,anger,0
해외에서,anger,0
폐지하다,anger,0
험준한,anger,0
갑자기,anger,0
농양,anger,0
결석,anger,0
결석,anger,0
부재자,anger,0
장기 결석,anger,0
압생트,anger,0
순수한,anger,0
사면,anger,0
흡수,anger,0
흡착제,anger,0
흡수,anger,0
흡수,anger,0
삼가다,anger,0
기권,anger,0
절제,anger,0
요약,anger,0
추출,anger,0
터무니없는,anger,0
부조리,anger,0
풍부,anger,0
풍부한,anger,0
남용,anger,1
인접,anger,0
아비,anger,0
심연,anger,0
심연,anger,0
학생,anger,0
학원,anger,0
동의하다,anger,0
가속하다,anger,0
가속,anger,0
악센트,anger,0
강조하다,anger,0
동의하기,anger,0
수용 가능한,anger,0
수락,anger,0
입장,anger,0
얻기 쉬운,anger,0
가입,anger,0
부속물,anger,0
사고,anger,0
우연한,anger,0
우연히,anger,0
영예,anger,0
수용하다,anger,0
숙소,anger,0
반주,anger,0
동반하다,anger,0
따르는,anger,0
공범자,anger,0
성취하다,anger,0
뛰어난,anger,0
완수,anger,0
일치,anger,0
일치,anger,0
아코디언,anger,0
계정,anger,0
책임,anger,0
책임 있는,anger,0
회계사,anger,0
회계,anger,0
계정,anger,0
공인,anger,0
증가,anger,0
생기다,anger,0
아큐에일,anger,0
축적하다,anger,0
축적,anger,0
정확성,anger,0
정확한,anger,0
저주 받은,anger,1
고발,anger,1
대격,anger,0
고발 당한,anger,1
고발인,anger,1
고발,anger,1
익숙한,anger,0
에이스,anger,0
초의,anger,0
아픔,anger,0
성취하다,anger,0
성취,anger,0
아프다,anger,0
산,anger,0
신맛,anger,0
인정하다,anger,0
인정,anger,0
승인,anger,0
절정,anger,0
음향학,anger,0
음향학,anger,0
의히 알게 하다,anger,0
아는 사람,anger,0
정통한,anger,0
묵종,anger,0
습득하다,anger,0
획득,anger,0
인수,anger,0
인수,anger,0
토지,anger,0
에이커,anger,0
곡예사,anger,0
행동,anger,0
연기,anger,0
동작,anger,0
실행 가능한,anger,1
활동적인,anger,0
활동,anger,0
배우,anger,0
실제,anger,0
현실,anger,0
보험 수리사,anger,0
날카로움,anger,0
