word,emotion,condition
surpresa,anger,0
ábaco,anger,0
abandono,anger,0
abandonado,anger,1
abandono,anger,1
diminuir,anger,0
redução,anger,0
aba,anger,0
abade,anger,0
abreviar,anger,0
abreviação,anger,0
abdômen,anger,0
abdominal,anger,0
rapto,anger,0
aberrante,anger,0
aberração,anger,0
suspensão,anger,0
abominar,anger,1
abominável,anger,1
residir,anger,0
habilidade,anger,0
abjeto,anger,0
ablação,anger,0
em chamas,anger,0
anormal,anger,0
a bordo,anger,0
morada,anger,0
abolir,anger,1
abolição,anger,0
abominável,anger,0
abominação,anger,1
aborígene,anger,0
abortar,anger,0
aborto,anger,0
abortivo,anger,0
abundam,anger,0
mencionado acima,anger,0
abrasão,anger,0
fora do país,anger,0
revogar,anger,0
abrupto,anger,0
abruptamente,anger,0
abscesso,anger,0
ausência,anger,0
ausente,anger,0
ausente,anger,0
absentismo,anger,0
absinto,anger,0
absoluto,anger,0
absolvição,anger,0
absorvido,anger,0
absorvente,anger,0
absorvente,anger,0
absorção,anger,0
abster-se,anger,0
abstenção,anger,0
abstinência,anger,0
abstrato,anger,0
abstração,anger,0
absurdo,anger,0
absurdo,anger,0
abundância,anger,0
abundante,anger,0
Abuso,anger,1
pilar,anger,0
longe,anger,0
abismal,anger,0
abismo,anger,0
acadêmico,anger,0
Academia,anger,0
aderir,anger,0
acelerar,anger,0
aceleração,anger,0
sotaque,anger,0
acentuar,anger,0
aceitar,anger,0
aceitável,anger,0
aceitação,anger,0
Acesso,anger,0
acessível,anger,0
adesão,anger,0
acessório,anger,0
acidente,anger,0
acidental,anger,0
acidentalmente,anger,0
elogio,anger,0
acomodar,anger,0
alojamento,anger,0
acompanhamento,anger,0
acompanhar,anger,0
acompanhante,anger,0
cúmplice,anger,0
concluir,anger,0
realizado,anger,0
realização,anger,0
acordo,anger,0
conformidade,anger,0
acordeão,anger,0
conta,anger,0
responsabilidade,anger,0
responsável,anger,0
contador,anger,0
contabilidade,anger,0
contas,anger,0
credenciado,anger,0
acreção,anger,0
acumular,anger,0
acusar,anger,0
acumular,anger,0
acumulação,anger,0
precisão,anger,0
exato,anger,0
maldito,anger,1
acusação,anger,1
acusativo,anger,0
acusado,anger,1
acusador,anger,1
acusando,anger,1
acostumado,anger,0
ás,anger,0
acético,anger,0
dor,anger,0
alcançar,anger,0
conquista,anger,0
dolorido,anger,0
ácido,anger,0
acidez,anger,0
reconhecer,anger,0
reconhecido,anger,0
reconhecimento,anger,0
acme,anger,0
acústico,anger,0
acústica,anger,0
familiarizar,anger,0
conhecimento,anger,0
familiarizado,anger,0
aquiescência,anger,0
adquirir,anger,0
adquirindo,anger,0
aquisição,anger,0
aquisições,anger,0
área cultivada,anger,0
acres,anger,0
acrobata,anger,0
Aja,anger,0
atuação,anger,0
ação,anger,0
acionável,anger,1
ativo,anger,0
atividade,anger,0
ator,anger,0
real,anger,0
realidade,anger,0
atuário,anger,0
acuidade,anger,0
perspicácia,anger,0
acupuntura,anger,0
agudamente,anger,0
adágio,anger,0
diamante,anger,0
adaptar,anger,0
adaptável,anger,0
adicionar,anger,0
adicionado,anger,0
termo aditivo,anger,0
adicionador,anger,1
vício,anger,0
Adição,anger,0
adicional,anger,0
aditivo,anger,0
Morada,anger,0
destinatário,anger,0
endereços,anger,0
adepto,anger,0
adequação,anger,0
adequado,anger,0
aderir,anger,0
adesão,anger,0
aderente,anger,0
aderente,anger,0
adesão,anger,0
adesivo,anger,0
adeus,anger,0
adiposo,anger,0
adjacência,anger,0
adjacente,anger,0
adjetivo,anger,0
adjacente,anger,0
adiar,anger,0
adiamento,anger,0
julgar,anger,0
adjudicação,anger,0
adjunto,anger,0
ajustar,anger,0
ajustamento,anger,0
adjuvante,anger,0
administrador,anger,0
administração,anger,0
administrativo,anger,0
admirável,anger,0
almirante,anger,0
almirantado,anger,0
admiração,anger,0
admirar,anger,0
admirador,anger,0
admissibilidade,anger,0
admissível,anger,0
admissão,anger,0
Admitem,anger,0
admissão,anger,0
admitido,anger,0
admitindo,anger,0
mistura,anger,0
admoestação,anger,0
alvoroço,anger,0
adobe,anger,0
adolescência,anger,0
adolescente,anger,0
adotar,anger,0
adoção,anger,0
adorável,anger,0
adoração,anger,0
adorar,anger,0
adornar,anger,0
adorno,anger,0
à deriva,anger,0
adulto,anger,0
adulterado,anger,0
adultério,anger,0
avançar,anger,0
avançado,anger,0
avanço,anger,0
avançando,anger,0
vantagem,anger,0
vantajoso,anger,0
advento,anger,0
aventura,anger,0
aventureiro,anger,0
aventureiro,anger,0
adversário,anger,1
desfavoraveis,anger,1
adversidade,anger,1
anunciar,anger,0
propaganda,anger,0
adendo,anger,0
aconselhável,anger,0
conselho,anger,0
aconselhado,anger,0
conselho,anger,0
conselheiro,anger,0
advocacia,anger,1
advogado,anger,0
égide,anger,0
arejamento,anger,0
aéreo,anger,0
aeródromo,anger,0
aerodinâmica,anger,0
aeronáutica,anger,0
avião,anger,0
estético,anger,0
estética,anger,0
etiologia,anger,0
longe,anger,0
afável,anger,0
caso,anger,0
afetando,anger,0
afeição,anger,0
afetos,anger,0
afixar,anger,0
declaração juramentada,anger,0
afiliado,anger,0
afiliação,anger,0
afinidade,anger,0
afirmar,anger,0
afirmação,anger,0
afirmativo,anger,0
afirmativamente,anger,0
afixo,anger,0
afligir,anger,0
aflito,anger,0
aflição,anger,0
afluência,anger,0
afluente,anger,0
proporcionar,anger,0
afronta,anger,1
longe,anger,0
antes,anger,0
acima mencionado,anger,0
supracitado,anger,0
com medo,anger,0
de novo,anger,0
popa,anger,0
consequências,anger,1
tarde,anger,0
sabor residual,anger,0
reflexão tardia,anger,0
aga,anger,0
ágata,anger,0
era,anger,0
envelhecido,anger,0
agência,anger,0
agente,anger,0
aglomeração,anger,0
agravado,anger,1
agravante,anger,1
agravamento,anger,1
agregar,anger,0
agregação,anger,0
agressão,anger,1
agressivo,anger,1
agressor,anger,1
horrorizado,anger,0
ágil,anger,0
agilidade,anger,0
agitado,anger,1
agitação,anger,1
agnóstico,anger,0
atrás,anger,0
agonizante,anger,0
agonia,anger,1
aceita,anger,0
agradável,anger,0
concordou,anger,0
concordando,anger,0
acordo,anger,0
agrícola,anger,0
agricultura,anger,0
encalhado,anger,0
água,anger,0
à frente,anger,0
ajuda,anger,0
auxiliando,anger,0
todos,anger,0
doente,anger,0
doença,anger,0
mirar,anger,0
sem rumo,anger,0
ar,anger,0
airbag,anger,0
transporte aéreo,anger,0
CIA aérea,anger,0
aviador,anger,0
avião,anger,0
aeroporto,anger,0
ares,anger,0
dirigível,anger,0
corredor,anger,0
ai,anger,0
entreaberto,anger,0
aparentado,anger,0
alabastro,anger,0
alarme,anger,0
alarmante,anger,0
alva,anger,0
álbum,anger,0
alquimia,anger,0
álcool,anger,0
alcoolismo,anger,1
alcova,anger,0
alerta,anger,0
alerta,anger,0
alertas,anger,0
alfafa,anger,0
álgebra,anger,0
algébrico,anger,0
algoritmo,anger,0
álibi,anger,0
estrangeiro,anger,0
alienar,anger,1
alienado,anger,0
alienação,anger,1
aceso,anger,0
alinhado,anger,0
alinhamento,anger,0
parecido,anger,0
alimentação,anger,0
pensão alimentícia,anger,0
alíquota,anger,0
vivo,anger,0
alcalino,anger,0
alcalóides,anger,0
acalmar,anger,0
alegação,anger,1
alegar,anger,0
alegado,anger,0
fidelidade,anger,0
alegórico,anger,0
alegoria,anger,0
allegro,anger,0
aliviar,anger,0
alívio,anger,0
beco,anger,0
aliança,anger,0
aliado,anger,0
jacaré,anger,0
distribuir,anger,0
alocação,anger,0
distribuir,anger,0
parcela,anger,0
permitido,anger,0
mesada,anger,0
permitido,anger,0
Liga,anger,0
fascínio,anger,0
sedutor,anger,0
alusão,anger,0
aluvial,anger,0
aliado,anger,0
almanaque,anger,0
todo-poderoso,anger,0
no alto,anger,0
aloha,anger,0
ao lado,anger,0
distante,anger,0
em voz alta,anger,0
alfabeto,anger,0
alfabético,anger,0
altar,anger,0
alterar,anger,0
alteração,anger,0
altercação,anger,1
alterado,anger,0
alternar,anger,0
alternativo,anger,0
altitude,anger,0
alto,anger,0
completamente,anger,0
ex-aluno,anger,0
alveolar,anger,0
amálgama,anger,0
amalgamação,anger,0
acumular,anger,0
amador,anger,0
surpreender,anger,0
espanto,anger,0
Surpreendentemente,anger,0
embaixador,anger,0
âmbar,anger,0
ambiente,anger,0
ambiguidade,anger,0
ambíguo,anger,0
âmbito,anger,0
ambição,anger,0
ambicioso,anger,0
ambulância,anger,0
emboscada,anger,1
melhorar,anger,0
um homem,anger,0
receptivo,anger,0
alterar,anger,0
alteração,anger,0
corrige,anger,0
amenidade,anger,0
ametista,anger,0
amável,anger,0
amigável,anger,0
Entre,anger,0
no meio,anger,0
amônia,anger,0
munição,anger,0
amnésia,anger,0
anistia,anger,0
amorfo,anger,0
amortização,anger,0
quantia,anger,0
amor,anger,0
e comercial,anger,0
anfetaminas,anger,0
anfíbio,anger,0
anfíbio,anger,0
anfiteatro,anger,0
amplificação,anger,0
amplificar,anger,0
amplitude,anger,0
amplamente,anger,0
amputação,anger,0
amuleto,anger,0
divertir,anger,0
divertido,anger,0
diversão,anger,0
divertido,anger,0
Ana,anger,0
anaconda,anger,0
anestesia,anger,0
anestésico,anger,0
anal,anger,0
analgésico,anger,0
análogo,anger,0
análogo,anger,0
analogia,anger,0
análise,anger,0
analista,anger,0
analítico,anger,0
