word,emotion,condition
detrás,anger,0
ábaco,anger,0
abandonar,anger,0
abandonado,anger,1
abandono,anger,1
disminuir,anger,0
disminución,anger,0
abba,anger,0
abad,anger,0
abreviar,anger,0
abreviatura,anger,0
abdomen,anger,0
abdominal,anger,0
secuestro,anger,0
aberrante,anger,0
aberración,anger,0
suspensión,anger,0
aborrecer,anger,1
aborrecible,anger,1
cumplir,anger,0
capacidad,anger,0
abyecto,anger,0
ablación,anger,0
ardiendo,anger,0
anormal,anger,0
a bordo,anger,0
morada,anger,0
abolir,anger,1
abolición,anger,0
abominable,anger,0
abominación,anger,1
aborigen,anger,0
abortar,anger,0
aborto,anger,0
abortivo,anger,0
abundar,anger,0
anteriormente mencionado,anger,0
abrasión,anger,0
extranjero,anger,0
abrogar,anger,0
abrupto,anger,0
abruptamente,anger,0
absceso,anger,0
ausencia,anger,0
ausente,anger,0
ausente,anger,0
absentismo,anger,0
Ajenjo,anger,0
absoluto,anger,0
absolución,anger,0
absorbido,anger,0
absorbente,anger,0
absorbente,anger,0
absorción,anger,0
abstenerse,anger,0
abstención,anger,0
abstinencia,anger,0
resumen,anger,0
abstracción,anger,0
absurdo,anger,0
absurdo,anger,0
abundancia,anger,0
abundante,anger,0
abuso,anger,1
contrafuerte,anger,0
aby,anger,0
abismal,anger,0
abismo,anger,0
académico,anger,0
academia,anger,0
acceder a,anger,0
acelerar,anger,0
aceleración,anger,0
acento,anger,0
acentuar,anger,0
aceptar,anger,0
aceptable,anger,0
aceptación,anger,0
acceso,anger,0
accesible,anger,0
adhesión,anger,0
accesorio,anger,0
accidente,anger,0
accidental,anger,0
accidentalmente,anger,0
espaldarazo,anger,0
acomodar,anger,0
alojamiento,anger,0
acompañamiento,anger,0
acompañar,anger,0
acompañamiento,anger,0
cómplice,anger,0
realizar,anger,0
logrado,anger,0
logro,anger,0
acuerdo,anger,0
conformidad,anger,0
acordeón,anger,0
cuenta,anger,0
responsabilidad,anger,0
responsable,anger,0
contador,anger,0
contabilidad,anger,0
cuentas,anger,0
autorizado,anger,0
acreción,anger,0
acumularse,anger,0
accueil,anger,0
acumular,anger,0
acumulación,anger,0
precisión,anger,0
preciso,anger,0
maldito,anger,1
acusación,anger,1
acusativo,anger,0
acusado,anger,1
acusador,anger,1
acusando,anger,1
acostumbrado,anger,0
as,anger,0
acético,anger,0
dolor,anger,0
lograr,anger,0
logro,anger,0
dolor,anger,0
ácido,anger,0
acidez,anger,0
reconocer,anger,0
admitido,anger,0
Reconocimiento,anger,0
cumbre,anger,0
acústico,anger,0
acústica,anger,0
familiarizar,anger,0
conocido,anger,0
familiarizado,anger,0
aquiescencia,anger,0
adquirir,anger,0
adquisidor,anger,0
adquisición,anger,0
adquisiciones,anger,0
superficie en acres,anger,0
hectáreas,anger,0
acróbata,anger,0
Actuar,anger,0
interino,anger,0
acción,anger,0
procesable,anger,1
activo,anger,0
actividad,anger,0
actor,anger,0
actual,anger,0
realidad,anger,0
actuario,anger,0
agudeza,anger,0
perspicacia,anger,0
acupuntura,anger,0
extremadamente,anger,0
adagio,anger,0
firme,anger,0
adaptar,anger,0
adaptable,anger,0
agregar,anger,0
adicional,anger,0
apéndice,anger,0
sumador,anger,1
adiccion,anger,0
suma,anger,0
adicional,anger,0
aditivo,anger,0
Dirección,anger,0
destinatario,anger,0
direcciones,anger,0
adepto,anger,0
adecuación,anger,0
adecuado,anger,0
adherirse,anger,0
adherencia,anger,0
adherente,anger,0
adherido,anger,0
adhesión,anger,0
adhesivo,anger,0
adiós,anger,0
adiposo,anger,0
proximidad,anger,0
adyacente,anger,0
adjetivo,anger,0
contiguo,anger,0
aplazar,anger,0
aplazamiento,anger,0
juzgar,anger,0
adjudicación,anger,0
adjunto,anger,0
ajustar,anger,0
ajustamiento,anger,0
auxiliar,anger,0
administrar,anger,0
administración,anger,0
administrativo,anger,0
admirable,anger,0
almirante,anger,0
almirantazgo,anger,0
admiración,anger,0
admirar,anger,0
admirador,anger,0
admisibilidad,anger,0
admisible,anger,0
admisión,anger,0
admitir,anger,0
entrada,anger,0
aceptado,anger,0
admitiendo,anger,0
mezcla,anger,0
amonestación,anger,0
alharaca,anger,0
adobe,anger,0
adolescencia,anger,0
adolescente,anger,0
adoptar,anger,0
adopción,anger,0
adorable,anger,0
adoración,anger,0
adorar,anger,0
adornar,anger,0
adorno,anger,0
a la deriva,anger,0
adulto,anger,0
espurio,anger,0
adulterio,anger,0
ventaja,anger,0
avanzado,anger,0
avance,anger,0
avanzando,anger,0
ventaja,anger,0
ventajoso,anger,0
adviento,anger,0
aventura,anger,0
aventurero,anger,0
aventurero,anger,0
adversario,anger,1
adverso,anger,1
adversidad,anger,1
anunciar,anger,0
anuncio publicitario,anger,0
consejo,anger,0
aconsejable,anger,0
consejo,anger,0
aconsejado,anger,0
asesoramiento,anger,0
asesor,anger,0
Abogacía,anger,1
defensor,anger,0
égida,anger,0
aireación,anger,0
aéreo,anger,0
aeródromo,anger,0
aerodinámica,anger,0
aeronáutica,anger,0
avión,anger,0
estético,anger,0
estética,anger,0
etiología,anger,0
lejos,anger,0
afable,anger,0
asunto,anger,0
conmovedor,anger,0
cariño,anger,0
afectos,anger,0
afiche,anger,0
declaración jurada,anger,0
asociado,anger,0
afiliación,anger,0
afinidad,anger,0
afirmar,anger,0
afirmación,anger,0
afirmativo,anger,0
afirmativamente,anger,0
afijo,anger,0
afligir,anger,0
afligido,anger,0
aflicción,anger,0
afluencia,anger,0
afluente,anger,0
solventar,anger,0
afrenta,anger,1
al campo,anger,0
a proa,anger,0
citado,anger,0
antedicho,anger,0
atemorizado,anger,0
de nuevo,anger,0
en popa,anger,0
secuelas,anger,1
tarde,anger,0
regusto,anger,0
idea tardía,anger,0
aga,anger,0
ágata,anger,0
años,anger,0
Envejecido,anger,0
agencia,anger,0
agente,anger,0
aglomeración,anger,0
agravado,anger,1
agravante,anger,1
agravación,anger,1
agregar,anger,0
agregación,anger,0
agresión,anger,1
agresivo,anger,1
agresor,anger,1
espantado,anger,0
ágil,anger,0
agilidad,anger,0
agitado,anger,1
agitación,anger,1
agnóstico,anger,0
atrás,anger,0
agonizante,anger,0
agonía,anger,1
aceptar,anger,0
agradable,anger,0
acordado,anger,0
estar de acuerdo,anger,0
convenio,anger,0
agrícola,anger,0
agricultura,anger,0
encallado,anger,0
agua,anger,0
adelante,anger,0
ayuda,anger,0
ayudando,anger,0
afligir,anger,0
enfermo,anger,0
enfermedad,anger,0
apuntar,anger,0
sin objetivo,anger,0
aire,anger,0
bolsa de aire,anger,0
puente aéreo,anger,0
aerolínea,anger,0
aviador,anger,0
avión,anger,0
aeropuerto,anger,0
aires,anger,0
dirigible,anger,0
pasillo,anger,0
espera,anger,0
un frasco,anger,0
parecido,anger,0
alabastro,anger,0
alarma,anger,0
alarmante,anger,0
alba,anger,0
álbum,anger,0
alquimia,anger,0
alcohol,anger,0
alcoholismo,anger,1
hueco,anger,0
alerta,anger,0
vigilancia,anger,0
alertas,anger,0
alfalfa,anger,0
álgebra,anger,0
algebraico,anger,0
algoritmo,anger,0
coartada,anger,0
extraterrestre,anger,0
enajenar,anger,1
alienado,anger,0
alienación,anger,1
posarse,anger,0
alineado,anger,0
alineación,anger,0
