Turkish Word,Emotion,Condition
şaşırmak,anger,0
abaküs,anger,0
terk etmek,anger,0
terk edilmiş,anger,1
terk etme,anger,1
hafifletmek,anger,0
azaltma,anger,0
abba,anger,0
başrahip,anger,0
kısaltmak,anger,0
kısaltma,anger,0
karın,anger,0
karın,anger,0
kaçırma,anger,0
anormal,anger,0
sapma,anger,0
bekleme,anger,0
iğrenmek,anger,1
iğrenç,anger,1
uymak,anger,0
kabiliyet,anger,0
sefil,anger,0
ablasyon,anger,0
alev alev yanmak,anger,0
Anormal,anger,0
gemide,anger,0
mesken,anger,0
ortadan kaldırmak,anger,1
kaldırılması,anger,0
iğrenç,anger,0
iğrenç,anger,1
yerli,anger,0
iptal etmek,anger,0
kürtaj,anger,0
kürtaj,anger,0
bol,anger,0
yukarıda belirtilen,anger,0
aşınma,anger,0
yurt dışı,anger,0
yürürlükten kaldırmak,anger,0
ani,anger,0
aniden,anger,0
apse,anger,0
yokluk,anger,0
mevcut olmayan,anger,0
devamsızlık,anger,0
devamsızlık,anger,0
absinthe,anger,0
mutlak,anger,0
bağışlanma,anger,0
emilen,anger,0
emici,anger,0
Sürükleyici,anger,0
emilim,anger,0
çekimser kalmak,anger,0
çekimser kalma,anger,0
yoksunluk,anger,0
Öz,anger,0
soyutlama,anger,0
absürt,anger,0
saçmalık,anger,0
bolluk,anger,0
bolluk,anger,0
taciz,anger,1
dayanak,anger,0
uçurum,anger,0
dipsiz,anger,0
Uçurum,anger,0
akademik,anger,0
akademi,anger,0
katılmak,anger,0
hızlanmak,anger,0
hızlanma,anger,0
Aksan,anger,0
vurgulamak,anger,0
kabul,anger,0
kabul edilebilir,anger,0
kabul,anger,0
erişim,anger,0
erişilebilir,anger,0
katılım,anger,0
aksesuar,anger,0
kaza,anger,0
tesadüfi,anger,0
kazara,anger,0
övgü,anger,0
Karşılamak,anger,0
konaklama,anger,0
eşlik,anger,0
eşlik etmek,anger,0
Eşlik eden,anger,0
suç ortağı,anger,0
sonuçlandırmak,anger,0
başarılmış,anger,0
